Name ,Share price ,M Cap,Industry,Exchange
"SQUARE ENIX HOLDINGS CO., LTD.",5228 JPY,423.94Cr,Internet Gaming,Tokyo Stock Exchange
"TOEI ANIMATION CO.,LTD.",2970 JPY,423.4Cr,Other Entertainment Production,Tokyo Stock Exchange
SHARP CORPORATION,952.3 JPY,422.37Cr,Other Household Electronics,Tokyo Stock Exchange
"KOITO MANUFACTURING CO., LTD.",2013 JPY,421.08Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
MITSUBISHI MOTORS CORPORATION,410.6 JPY,418.92Cr,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
"IIDA GROUP HOLDINGS CO., LTD.",2218 JPY,417.25Cr,Residential Real Estate Development,Tokyo Stock Exchange
HAMAMATSU PHOTONICS K.K.,3982 JPY,417.05Cr,Other Semiconductors,Tokyo Stock Exchange
"KURARAY CO., LTD",1812 JPY,415.11Cr,Other Commodity Chemicals,Tokyo Stock Exchange
NIPPON EXPRESS HOLDINGS INC.,7218 JPY,413.18Cr,Integrated Logistics Operators,Tokyo Stock Exchange
KYUSHU RAILWAY COMPANY,3832 JPY,412.43Cr,Rail Services,Tokyo Stock Exchange
TOSOH CORPORATION,1867.5 JPY,411.65Cr,Diversified Chemicals,Tokyo Stock Exchange
AZBIL CORPORATION,4450 JPY,405.11Cr,Other Electrical Components & Equipment,Tokyo Stock Exchange
"ACOM CO., LTD.",371.7 JPY,404.1Cr,Other Consumer Lending,Tokyo Stock Exchange
"NIPPON TELEVISION HOLDINGS, INC.",2354 JPY,403.88Cr,Television Broadcasting,Tokyo Stock Exchange
"ODAKYU ELECTRIC RAILWAY CO., LTD.",1634 JPY,397.64Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
SOCIONEXT INC.,3214 JPY,397.05Cr,Other Semiconductors,Tokyo Stock Exchange
"MEBUKI FINANCIAL GROUP,INC.",565.6 JPY,393.56Cr,Commercial Banks,Tokyo Stock Exchange
OJI HOLDINGS CORPORATION,577.5 JPY,392.14Cr,Other Paper Products,Tokyo Stock Exchange
"YAMAZAKI BAKING CO., LTD.",2859.5 JPY,391.94Cr,Bread & Bakery Product Manufacturing,Tokyo Stock Exchange
"NGK INSULATORS, LTD",1902 JPY,391.32Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
YAMATO HOLDINGS CO LTD,1656 JPY,390.17Cr,Other Air Freight & Logistics,Tokyo Stock Exchange
SAPPORO HOLDINGS LIMITED,7324 JPY,388.6Cr,Other Brewers,Tokyo Stock Exchange
FUJI SOFT INCORPORATED,9170 JPY,388.52Cr,Other IT Services & Consulting,Tokyo Stock Exchange
CANON MARKETING JAPAN INC.,4374 JPY,386.69Cr,Office Equipment Wholesale,Tokyo Stock Exchange
"SHIMAMURA CO., LTD.",7701 JPY,384.26Cr,Women's Apparel Retailers,Tokyo Stock Exchange
"RAKUTEN BANK, LTD.",3090 JPY,382.86Cr,Other Banks,Tokyo Stock Exchange
DAIWA HOUSE REIT INVESTMENT CORPORATION,241800 JPY,381.05Cr,Diversified REITs,Tokyo Stock Exchange
NISSHIN SEIFUN GROUP INC.,1864.5 JPY,380.94Cr,Other Food Processing,Tokyo Stock Exchange
COSMOS PHARMACEUTICAL CORPORATION,14340 JPY,380.26Cr,Retail - Drugs with Grocery,Tokyo Stock Exchange
NIKON CORPORATION,1608.5 JPY,379.69Cr,Photographic Equipment,Tokyo Stock Exchange
"MITSUBISHI GAS CHEMICAL COMPANY, INC.",2724 JPY,375.72Cr,Other Commodity Chemicals,Tokyo Stock Exchange
NH FOODS LTD.,5327 JPY,373.23Cr,Other Food Processing,Tokyo Stock Exchange
YAMAHA CORPORATION,3356 JPY,367.93Cr,Musical Instruments,Tokyo Stock Exchange
NICHIREI CORPORATION,4215 JPY,366.25Cr,Other Food Processing,Tokyo Stock Exchange
MEDIPAL HOLDINGS CORPORATION,2556.5 JPY,364.57Cr,Pharmaceuticals Wholesale,Tokyo Stock Exchange
"KANSAI PAINT CO., LTD.",2600 JPY,363.19Cr,Paint & Coating,Tokyo Stock Exchange
"THE YOKOHAMA RUBBER CO., LTD.",3256 JPY,363.11Cr,Other Tires & Rubber Products,Tokyo Stock Exchange
AMADA HOLDINGS CO. LTD.,1530 JPY,354.94Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"CREDIT SAISON CO., LTD.",3170 JPY,354.58Cr,Other Consumer Lending,Tokyo Stock Exchange
SEGA SAMMY HOLDINGS INC.,2465.5 JPY,354.28Cr,Other Entertainment Production,Tokyo Stock Exchange
"TOBU RAILWAY CO., LTD.",2477 JPY,352.42Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
NOF CORPORATION,2201 JPY,349.33Cr,Other Commodity Chemicals,Tokyo Stock Exchange
KEWPIE CORPORATION,3684 JPY,347.84Cr,Food Ingredients,Tokyo Stock Exchange
"TOKYO TATEMONO CO., LTD.",2417.5 JPY,346.17Cr,Other Real Estate Development & Operations,Tokyo Stock Exchange
"MARUWA CO.,LTD.",39650 JPY,345.41Cr,Other Electronic Equipment & Parts,Tokyo Stock Exchange
"DMG MORI CO., LTD.",3483 JPY,345.33Cr,Machine Tools,Tokyo Stock Exchange
"SOHGO SECURITY SERVICES CO.,LTD.",1002 JPY,343.86Cr,Other Business Support Services,Tokyo Stock Exchange
"CYBERAGENT, INC.",1004.5 JPY,342.23Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"JAPAN AIRPORT TERMINAL CO., LTD.",5393 JPY,338.9Cr,Airport Operators,Tokyo Stock Exchange
"SKYLARK HOLDINGS CO., LTD.",2220 JPY,338.56Cr,Other Restaurants & Bars,Tokyo Stock Exchange
IWATANI CORPORATION,8443 JPY,336.39Cr,Other Oil & Gas Refining and Marketing,Tokyo Stock Exchange
INVINCIBLE INVESTMENT CORPORATION,63800 JPY,334.41Cr,Diversified REITs,Tokyo Stock Exchange
LIXIL CORPORATION,1704 JPY,333.76Cr,Other Construction Supplies & Fixtures,Tokyo Stock Exchange
HASEKO CORPORATION,1805 JPY,333.29Cr,Residential Builders - Multifamily Homes,Tokyo Stock Exchange
"SUNDRUG CO.,LTD.",4161 JPY,333.21Cr,Retail - Drugs with Grocery,Tokyo Stock Exchange
KOSÉ CORPORATION,8605 JPY,331.52Cr,Cosmetics & Perfumes,Tokyo Stock Exchange
INTERNET INITIATIVE JAPAN INC.,2824 JPY,331.13Cr,Internet Service Providers,Tokyo Stock Exchange
ADVANCE RESIDENCE INVESTMENT CORPORATION,329000 JPY,328.73Cr,Residential REITs,Tokyo Stock Exchange
"OBIC BUSINESS CONSULTANTS CO., LTD.",6432 JPY,326.6Cr,Enterprise Software,Tokyo Stock Exchange
"SUGI HOLDINGS CO.,LTD.",2571.5 JPY,322.38Cr,Retail - Drugs with Grocery,Tokyo Stock Exchange
"THE HACHIJUNI BANK, LTD.",952.1 JPY,322.24Cr,Other Banks,Tokyo Stock Exchange
"AEON MALL CO., LTD.",2046 JPY,320.88Cr,Retail Real Estate Development,Tokyo Stock Exchange
"YAMATO KOGYO CO., LTD.",7168 JPY,315.98Cr,"Iron, Steel Mills & Foundries",Tokyo Stock Exchange
RINNAI CORPORATION,3266 JPY,315.28Cr,Household Appliances,Tokyo Stock Exchange
"KAKAKU.COM, INC.",2316.5 JPY,314.04Cr,Other Internet Services,Tokyo Stock Exchange
"TOKYO OHKA KOGYO CO., LTD.",3779 JPY,312.49Cr,Other Specialty Chemicals,Tokyo Stock Exchange
"KOEI TECMO HOLDINGS CO., LTD.",1462 JPY,311.54Cr,Other Internet Services,Tokyo Stock Exchange
"TAIYO YUDEN CO., LTD.",3609 JPY,310.75Cr,Electronic Component,Tokyo Stock Exchange
BIPROGY INC.,4589 JPY,310.31Cr,Other IT Services & Consulting,Tokyo Stock Exchange
"SBI SUMISHIN NET BANK, LTD.",2989 JPY,309.93Cr,Other Banks,Tokyo Stock Exchange
AIR WATER INC.,1980 JPY,309.82Cr,Industrial Gas,Tokyo Stock Exchange
HAKUHODO DY HOLDINGS INC,1230.5 JPY,309.2Cr,Other Advertising & Marketing,Tokyo Stock Exchange
"ELECTRIC POWER DEVELOPMENT CO., LTD.",2455 JPY,307.62Cr,Other Electric Utilities,Tokyo Stock Exchange
KYUDENKO CORPORATION,6283 JPY,307.05Cr,Other Construction & Engineering,Tokyo Stock Exchange
"MARUI GROUP CO., LTD.",2373 JPY,306.53Cr,Other Consumer Lending,Tokyo Stock Exchange
UNITED URBAN INVESTMENT CORPORATION,144800 JPY,305.85Cr,Diversified REITs,Tokyo Stock Exchange
"TOHO GAS CO., LTD.",4309 JPY,3.03B,Other Natural Gas Utilities,Tokyo Stock Exchange
"STANLEY ELECTRIC CO., LTD.",2751 JPY,3.02B,Automotive Body Parts,Tokyo Stock Exchange
KEIO CORPORATION,3568 JPY,3B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
ALFRESA HOLDINGS CORPORATION,2340.5 JPY,2.99B,"Other Medical Equipment, Supplies & Distribution",Tokyo Stock Exchange
"SANKYO CO., LTD.",2016.5 JPY,2.96B,Gambling & Gaming Machine Manufacturers,Tokyo Stock Exchange
"HORIBA, LTD.",9970 JPY,2.94B,Testing & Measuring Equipment,Tokyo Stock Exchange
ORIX JREIT INC.,154700 JPY,2.93B,Other Commercial REITs,Tokyo Stock Exchange
TSURUHA HOLDINGS INC.,8775 JPY,2.91B,Retail - Drugs with Grocery,Tokyo Stock Exchange
"KANDENKO CO.,LTD.",2001 JPY,2.86B,Other Construction & Engineering,Tokyo Stock Exchange
"WELCIA HOLDINGS CO., LTD.",2029.5 JPY,2.84B,Other Drug Retailers,Tokyo Stock Exchange
"ULVAC, INC.",8200 JPY,2.83B,Other Semiconductor Equipment & Testing,Tokyo Stock Exchange
"IYOGIN HOLDINGS,INC.",1332 JPY,2.82B,Other Banks,Tokyo Stock Exchange
"RAKUS CO., LTD.",2415.5 JPY,2.82B,Enterprise Software,Tokyo Stock Exchange
"SUMITOMO HEAVY INDUSTRIES, LTD.",3420 JPY,2.82B,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
KADOKAWA CORPORATION,3048 JPY,2.78B,Other Consumer Publishing,Tokyo Stock Exchange
"TOYO SEIKAN GROUP HOLDINGS, LTD.",2340.5 JPY,2.78B,Metal Containers & Packaging,Tokyo Stock Exchange
"SUZUKEN CO., LTD.",5152 JPY,2.77B,Pharmaceuticals Wholesale,Tokyo Stock Exchange
"KOBAYASHI PHARMACEUTICAL CO., LTD.",5374 JPY,2.75B,Other Personal Products,Tokyo Stock Exchange
LION CORPORATION,1450 JPY,2.74B,Other Household Products,Tokyo Stock Exchange
NEC NETWORKS & SYSTEM INTEGRATION CORPORATION,2693 JPY,2.73B,Technology Consulting & Outsourcing Services,Tokyo Stock Exchange
TAIHEIYO CEMENT CORPORATION,3469 JPY,2.73B,Other Construction Materials,Tokyo Stock Exchange
"ZENKOKU HOSHO CO.,LTD.",5822 JPY,2.71B,Other Consumer Lending,Tokyo Stock Exchange
RORZE CORPORATION,22210 JPY,2.7B,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
GOLDWIN INC.,9055 JPY,2.7B,Sportswear & Outdoors Clothing,Tokyo Stock Exchange
"SUMITOMO RUBBER INDUSTRIES, LTD.",1476.5 JPY,2.67B,Other Tires & Rubber Products,Tokyo Stock Exchange
"J.FRONT RETAILING CO., LTD.",1486.5 JPY,2.66B,Retail - Department Stores,Tokyo Stock Exchange
"SEINO HOLDINGS CO., LTD.",2250 JPY,2.62B,Integrated Logistics Operators,Tokyo Stock Exchange
"CALBEE, INC.",3115 JPY,2.62B,Other Food Processing,Tokyo Stock Exchange
"YAOKO CO.,LTD.",9282 JPY,2.61B,Supermarkets & Convenience Stores,Tokyo Stock Exchange
HARMONIC DRIVE SYSTEMS INC.,3905 JPY,2.58B,Industrial Parts & Components,Tokyo Stock Exchange
COCA-COLA BOTTLERS JAPAN HOLDINGS INC.,2092 JPY,2.57B,Carbonated Soft Drinks,Tokyo Stock Exchange
"YAMAGUCHI FINANCIAL GROUP, INC.",1683 JPY,2.56B,Other Banks,Tokyo Stock Exchange
"TAKASHIMAYA COMPANY, LIMITED",2336.5 JPY,2.56B,Retail - Department Stores,Tokyo Stock Exchange
DEXERIALS CORPORATION,6415 JPY,2.56B,Other Electronic Equipment & Parts,Tokyo Stock Exchange
COMSYS HOLDINGS CORPORATION,3099 JPY,2.54B,Telecommunication Construction,Tokyo Stock Exchange
DENTSU SOKEN INC.,5790 JPY,2.54B,Other IT Services & Consulting,Tokyo Stock Exchange
NSK LTD,750.1 JPY,2.54B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"FUJI MEDIA HOLDINGS, INC.",1747.5 JPY,2.54B,Other Broadcasting,Tokyo Stock Exchange
JAPAN HOTEL REIT INVESTMENT CORPORATION,72700 JPY,2.53B,Hospitality REITs,Tokyo Stock Exchange
MITSUBISHI LOGISTICS CORPORATION,4973 JPY,2.53B,Other Marine Port Services,Tokyo Stock Exchange
NOK CORPORATION,2223 JPY,250.79Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"ITO EN, LTD.",3511 JPY,250.5Cr,Other Non-Alcoholic Beverages,Tokyo Stock Exchange
"NHK SPRING CO., LTD.",1682.5 JPY,250.24Cr,Automotive Systems,Tokyo Stock Exchange
DAICEL CORPORATION,1324.5 JPY,250.05Cr,Plastics,Tokyo Stock Exchange
SUMITOMO BAKELITE COMPANY LIMITED,3895 JPY,249.96Cr,Plastics,Tokyo Stock Exchange
"WORKMAN CO.,LTD.",4635 JPY,249.81Cr,Other Apparel & Accessories Retailers,Tokyo Stock Exchange
"MERCARI, INC.",2377 JPY,249.23Cr,E-commerce & Auction Services,Tokyo Stock Exchange
"SEKISUI HOUSE REIT, INC.",82900 JPY,248.94Cr,Diversified REITs,Tokyo Stock Exchange
"FUJITEC CO., LTD.",4692 JPY,247.65Cr,Elevator & Conveying Equipment,Tokyo Stock Exchange
"MIURA CO., LTD.",3236 JPY,246.84Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"THE GUNMA BANK, LTD.",912 JPY,246.22Cr,Commercial Banks,Tokyo Stock Exchange
"THE CHUGOKU ELECTRIC POWER CO., INC.",1018 JPY,245.33Cr,Other Electric Utilities,Tokyo Stock Exchange
"NAGASE & CO., LTD.",3152 JPY,244.22Cr,Other Commodity Chemicals,Tokyo Stock Exchange
"AOZORA BANK, LTD.",2557 JPY,244.14Cr,Other Banks,Tokyo Stock Exchange
"HIROGIN HOLDINGS, INC.",1135 JPY,243.42Cr,Commercial Banks,Tokyo Stock Exchange
NICHIAS CORPORATION,5350 JPY,241.78Cr,Industrial Plant,Tokyo Stock Exchange
"KAMIGUMI CO., LTD.",3281 JPY,238.74Cr,Integrated Logistics Operators,Tokyo Stock Exchange
"TAKASAGO THERMAL ENGINEERING CO., LTD.",5090 JPY,238.36Cr,Other Construction & Engineering,Tokyo Stock Exchange
JTEKT CORPORATION,1010.5 JPY,236.76Cr,Automotive Systems,Tokyo Stock Exchange
"KYUSHU FINANCIAL GROUP,INC.",774.2 JPY,236.09Cr,Commercial Banks,Tokyo Stock Exchange
NIFCO INC.,3546 JPY,235.88Cr,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
"FUYO GENERAL LEASE CO., LTD.",11405 JPY,235.54Cr,Commercial Leasing,Tokyo Stock Exchange
"MACNICA HOLDINGS, INC.",5700 JPY,235.35Cr,Semiconductor Wholesale,Tokyo Stock Exchange
TRIAL HOLDINGS INC.,3040 JPY,234.54Cr,Other Discount Stores,Tokyo Stock Exchange
"NAGOYA RAILROAD CO., LTD.",1734.5 JPY,234.33Cr,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
MITSUBISHI MATERIALS CORPORATION,2609.5 JPY,234.31Cr,Integrated Mining,Tokyo Stock Exchange
FANCL CORPORATION,2797 JPY,232.7Cr,Cosmetics & Perfumes,Tokyo Stock Exchange
TOYOTA BOSHOKU CORPORATION,1890.5 JPY,232.26Cr,Automotive Accessories,Tokyo Stock Exchange
"VISIONAL, INC.",8680 JPY,231.72Cr,Online Job Portals,Tokyo Stock Exchange
"TOKYO SEIMITSU CO., LTD.",8258 JPY,231.64Cr,Semiconductor Machinery Manufacturing,Tokyo Stock Exchange
TOYO TIRE CORPORATION,2155.5 JPY,230.52Cr,Other Tires & Rubber Products,Tokyo Stock Exchange
NIHON KOHDEN CORPORATION,2008 JPY,230.31Cr,Other Advanced Medical Equipment & Technology,Tokyo Stock Exchange
"THK CO., LTD.",2721 JPY,228.22Cr,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
INFOCOM CORPORATION,6050 JPY,228.18Cr,Other Internet Services,Tokyo Stock Exchange
"SEVEN BANK, LTD.",273.3 JPY,227.5Cr,Commercial Banks,Tokyo Stock Exchange
NIPPON ACCOMMODATIONS FUND INC.,653000 JPY,226.84Cr,Residential REITs,Tokyo Stock Exchange
JAPAN PRIME REALTY INVESTMENT CORPORATION,328500 JPY,226.35Cr,Other Commercial REITs,Tokyo Stock Exchange
DESCENTE LTD.,4400 JPY,225.49Cr,Sportswear & Outdoors Clothing,Tokyo Stock Exchange
JEOL LTD.,6514 JPY,224.18Cr,Scientific & Precision Equipment,Tokyo Stock Exchange
"THE JAPAN STEEL WORKS, LTD.",4385 JPY,222.92Cr,Industrial Machinery,Tokyo Stock Exchange
INFRONEER HOLDINGS INC.,1207 JPY,2.22B,Other Construction & Engineering,Tokyo Stock Exchange
"U-NEXT HOLDINGS CO.,LTD.",5390 JPY,2.2B,Other Internet Services,Tokyo Stock Exchange
"TOYODA GOSEI CO., LTD.",2490.5 JPY,2.18B,"Other Auto, Truck & Motorcycle Parts",Tokyo Stock Exchange
POLA ORBIS HOLDINGS INC.,1448 JPY,2.18B,Other Personal Products,Tokyo Stock Exchange
"EXEO GROUP, INC.",1518.5 JPY,2.17B,Other Construction & Engineering,Tokyo Stock Exchange
"THE 77 BANK, LTD.",4140 JPY,2.17B,Commercial Banks,Tokyo Stock Exchange
KEIKYU CORPORATION,1144.5 JPY,2.16B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
INDUSTRIAL & INFRASTRUCTURE FUND INVESTMENT CORPORATION,123200 JPY,2.16B,Industrial REITs,Tokyo Stock Exchange
ORGANO CORPORATION,6630 JPY,2.13B,Purification & Treatment Equipment,Tokyo Stock Exchange
JGC HOLDINGS CORPORATION,1275.5 JPY,2.13B,Other Construction & Engineering,Tokyo Stock Exchange
"YAMADA HOLDINGS CO., LTD.",448 JPY,2.12B,Consumer Electronics Retailers,Tokyo Stock Exchange
TORIDOLL HOLDINGS CORPORATION,3585 JPY,2.12B,Other Restaurants & Bars,Tokyo Stock Exchange
"TECHNOPRO HOLDINGS, INC.",2798 JPY,2.12B,Outsourcing & Staffing Services,Tokyo Stock Exchange
"ALPS ALPINE CO., LTD",1510.5 JPY,2.12B,Electronic Component,Tokyo Stock Exchange
"KEIHAN HOLDINGS CO., LTD.",2840 JPY,2.12B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
AMANO CORPORATION,4378 JPY,2.11B,Office Technology Equipment,Tokyo Stock Exchange
ADEKA CORPORATION,3012 JPY,2.1B,Other Commodity Chemicals,Tokyo Stock Exchange
"DAIDO STEEL CO., LTD.",1448 JPY,2.09B,Other Steel,Tokyo Stock Exchange
"NIPPON ELECTRIC GLASS CO., LTD.",3462 JPY,2.07B,Other Electronic Equipment & Parts,Tokyo Stock Exchange
TODA CORPORATION,988.6 JPY,2.05B,Other Construction & Engineering,Tokyo Stock Exchange
"HISAMITSU PHARMACEUTICAL CO., INC.",4114 JPY,2.05B,Other Pharmaceuticals,Tokyo Stock Exchange
TSUMURA & CO.,4002 JPY,2.04B,Other Pharmaceuticals,Tokyo Stock Exchange
"KUSURI NO AOKI HOLDINGS CO., LTD.",3124 JPY,2.03B,Retail - Drugs with Grocery,Tokyo Stock Exchange
"KAGOME CO., LTD.",3153 JPY,2.02B,Other Food Processing,Tokyo Stock Exchange
NABTESCO CORPORATION,2439.5 JPY,2.02B,Other Industrial Machinery & Equipment,Tokyo Stock Exchange
"JAPAN PETROLEUM EXPLORATION CO., LTD.",5690 JPY,2.02B,Other Oil & Gas Exploration and Production,Tokyo Stock Exchange
"AEON FINANCIAL SERVICE CO., LTD.",1353.5 JPY,2.01B,Other Consumer Lending,Tokyo Stock Exchange
"DOWA HOLDINGS CO., LTD.",4921 JPY,2B,Other Specialty Mining & Metals,Tokyo Stock Exchange
"DAIEI KANKYO CO., LTD.",2899 JPY,2B,Other Environmental Services & Equipment,Tokyo Stock Exchange
"TOHO HOLDINGS CO., LTD.",4608 JPY,2B,Pharmaceuticals Wholesale,Tokyo Stock Exchange
BIC CAMERA INC.,1723 JPY,2B,Other Computer & Electronics Retailers,Tokyo Stock Exchange
DAIWA OFFICE INVESTMENT CORPORATION,304500 JPY,1.99B,Office REITs,Tokyo Stock Exchange
PEPTIDREAM INC.,2215 JPY,1.99B,Bio Therapeutic Drugs,Tokyo Stock Exchange
"TOMY COMPANY, LTD.",3193 JPY,1.98B,"Games, Toys & Children Vehicles",Tokyo Stock Exchange
"MIZUHO LEASING COMPANY, LIMITED",1021 JPY,1.97B,Commercial Leasing,Tokyo Stock Exchange
DIC CORPORATION,3044 JPY,1.97B,Coloring Agent,Tokyo Stock Exchange
"CHUGIN FINANCIAL GROUP,INC.",1591.5 JPY,1.97B,Other Banks,Tokyo Stock Exchange
"SHO-BOND HOLDINGS CO.,LTD.",5429 JPY,1.96B,Other Construction & Engineering,Tokyo Stock Exchange
"PARK24 CO., LTD.",1642 JPY,1.94B,Parking Lot Operators,Tokyo Stock Exchange
"MONEY FORWARD, INC.",5244 JPY,1.93B,Other Software,Tokyo Stock Exchange
"MABUCHI MOTOR CO., LTD.",2191.5 JPY,1.93B,Other Electrical Components & Equipment,Tokyo Stock Exchange
AEON REIT INVESTMENT CORPORATION,132800 JPY,1.92B,Retail REITs,Tokyo Stock Exchange
"KOKUYO CO., LTD.",2463 JPY,1.92B,Office Supplies,Tokyo Stock Exchange
FOOD & LIFE COMPANIES LTD.,2593.5 JPY,1.92B,Commercial Food Services,Tokyo Stock Exchange
LASALLE LOGIPORT REIT,149200 JPY,1.91B,Industrial REITs,Tokyo Stock Exchange
"RELO GROUP, INC.",1829 JPY,1.91B,Residential Real Estate Services,Tokyo Stock Exchange
"MORINAGA MILK INDUSTRY CO., LTD.",3271 JPY,1.91B,Other Food Processing,Tokyo Stock Exchange
PALTAC CORPORATION,4384 JPY,1.9B,Other Personal Products,Tokyo Stock Exchange
MITSUI FUDOSAN LOGISTICS PARK INC.,447500 JPY,1.89B,Other Commercial REITs,Tokyo Stock Exchange
ACTIVIA PROPERTIES INC.,345500 JPY,1.88B,Other Commercial REITs,Tokyo Stock Exchange
HOUSE FOODS GROUP INC.,2850 JPY,1.88B,Food Ingredients,Tokyo Stock Exchange
GS YUASA CORPORATION,2731 JPY,1.88B,Other Electrical Components & Equipment,Tokyo Stock Exchange
MARUICHI STEEL TUBE LTD.,3418 JPY,1.87B,Other Steel,Tokyo Stock Exchange
"RESORTTRUST, INC.",2556.5 JPY,1.85B,Hotels & Motels,Tokyo Stock Exchange
NISSUI CORPORATION,870.4 JPY,1.85B,Seafood Product Preparation & Packaging,Tokyo Stock Exchange
"MITSUI MINING AND SMELTING CO., LTD.",4637 JPY,1.83B,Nonferrous Metal Processing,Tokyo Stock Exchange
"NANKAI ELECTRIC RAILWAY CO., LTD.",2346 JPY,1.83B,"Other Passenger Transportation, Ground & Sea",Tokyo Stock Exchange
"SERIA CO., LTD.",3545 JPY,1.82B,Other Discount Stores,Tokyo Stock Exchange
K'S HOLDINGS CORPORATION,1585.5 JPY,1.82B,Consumer Electronics Retailers,Tokyo Stock Exchange
FUJI OIL HOLDINGS INC.,3091 JPY,1.82B,Other Food Processing,Tokyo Stock Exchange
"KOTOBUKI SPIRITS CO., LTD.",1697 JPY,1.82B,Snack Food & Non-Chocolate Confectionary,Tokyo Stock Exchange
"CASIO COMPUTER CO., LTD.",1165 JPY,1.81B,Other Household Electronics,Tokyo Stock Exchange
"EZAKI GLICO CO., LTD.",4181 JPY,1.81B,Other Food Processing,Tokyo Stock Exchange
"GMO INTERNET GROUP, INC.",2533.5 JPY,1.81B,Other Internet Services,Tokyo Stock Exchange
"HINO MOTORS, LTD",452.9 JPY,1.8B,Other Auto & Truck Manufacturers,Tokyo Stock Exchange
UBE CORPORATION,2693.5 JPY,1.8B,Other Commodity Chemicals,Tokyo Stock Exchange
"SAWAI GROUP HOLDINGS CO., LTD.",6118 JPY,1.8B,Other Pharmaceuticals,Tokyo Stock Exchange
"SHIKOKU ELECTRIC POWER COMPANY, INCORPORATED",1269.5 JPY,1.8B,Fossil Fuel Electric Utilities,Tokyo Stock Exchange
TEIJIN LIMITED,1347.5 JPY,1.79B,Other Textiles & Leather Goods,Tokyo Stock Exchange
"SANSAN, INC.",2144 JPY,1.79B,Cloud Computing Services,Tokyo Stock Exchange
HOKUETSU CORPORATION,1603 JPY,1.79B,Other Paper Products,Tokyo Stock Exchange
"NIPPON GAS CO., LTD.",2365 JPY,1.78B,Other Natural Gas Utilities,Tokyo Stock Exchange
"FURUKAWA ELECTRIC CO., LTD.",3623 JPY,1.76B,Other Electrical Components & Equipment,Tokyo Stock Exchange
MEITEC GROUP HOLDINGS INC.,3313 JPY,1.76B,Outsourcing & Staffing Services,Tokyo Stock Exchange
"NIPPON SHOKUBAI CO., LTD.",1687.5 JPY,1.75B,Other Commodity Chemicals,Tokyo Stock Exchange
ZEON CORPORATION,1197.5 JPY,1.74B,Other Commodity Chemicals,Tokyo Stock Exchange
"NISHI-NIPPON FINANCIAL HOLDINGS, INC.",1750 JPY,1.73B,Commercial Banks,Tokyo Stock Exchange
"TOEI COMPANY, LTD.",4065 JPY,1.72B,Other Entertainment Production,Tokyo Stock Exchange
SANKYU INC.,4555 JPY,1.72B,Integrated Logistics Operators,Tokyo Stock Exchange
"NET ONE SYSTEMS CO., LTD.",3278 JPY,1.7B,Other IT Services & Consulting,Tokyo Stock Exchange
"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD.",2774 JPY,1.7B,Maintenance & Repair Services,Tokyo Stock Exchange
DAIWA SECURITIES LIVING INVESTMENT CORPORATION,102800 JPY,1.69B,Residential REITs,Tokyo Stock Exchange
MORI HILLS REIT INVESTMENT CORPORATION,128400 JPY,1.69B,Office REITs,Tokyo Stock Exchange
"JAPAN LOGISTICS FUND, INC.",262000 JPY,1.68B,Industrial REITs,Tokyo Stock Exchange
"MORINAGA&CO., LTD.",2729.5 JPY,1.68B,Chocolate & Confectionery,Tokyo Stock Exchange
"COMFORIA RESIDENTIAL REIT, INC",312000 JPY,1.68B,Residential REITs,Tokyo Stock Exchange
JMDC INC.,4050 JPY,1.67B,Data Processing Services,Tokyo Stock Exchange
"IZUMI CO., LTD.",3402 JPY,1.67B,Other Department Stores,Tokyo Stock Exchange
"AMVIS HOLDINGS, INC.",2567 JPY,1.67B,Residential & Long-Term Care,Tokyo Stock Exchange
