Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
Z/ZHENYUAN SHARE C,6.91,4.186M,2.349B,Health technology
HUBEI SHUANG SCI,6.14,2.648M,2.901B,Process industries
CITIC PACIFIC SPEC,11.33,5.688M,57.891B,Non-energy minerals
HBIS COMPANY,1.84,36.315M,18.703B,Non-energy minerals
BERRY GENOMICS CO,6.96,10.765M,2.513B,Health technology
KINGLAND TECHNOLOG,1.67,3.445M,7.949B,Utilities
GUANGDONG GOLDEN G,10.22,89.188M,10.179B,Consumer non-durables
HEFEI FENGLE SEED,5.21,6.036M,3.26B,Process industries
ZHONGXING SHENYANG,4.64,3.696M,1.966B,Retail trade
NANFANG BLACK SESA,3.47,6.438M,2.713B,Consumer non-durables
GUANGDONG ZHONGNAN,1.64,5.94M,3.999B,Non-energy minerals
SUNING UNIVERSAL,1.62,10.562M,4.477B,Finance
CENTRAL CHINA LAND,10.12,6.019M,10.539B,Consumer services
SHANDONG XINNENG T,2.28,4.763M,2.851B,Utilities
XI'AN CATERING CO.,6.33,10.817M,3.805B,Consumer services
HUNAN DEVELOPMENT,7.96,3.995M,3.75B,Utilities
SHANXI MEIJIN ENER,3.93,25.71M,17.478B,Energy minerals
BOE TECHNOLOGY GP,3.85,228.001M,141.772B,Electronic technology
LU THAI TEXTILE CO,5.36,3.587M,4.249B,Process industries
TPV TECHNOLOGY CO,1.91,27.625M,6.599B,Electronic technology
GUOYUAN SECURITIES,6.21,17.119M,27.361B,Finance
BEIJING YANJING BR,9.53,13.316M,27.171B,Consumer non-durables
SICHUAN MEIFENG CH,6.26,1.78M,3.567B,Process industries
CHINA ZHENHUA SCIE,36.35,3.896M,20.305B,Electronic technology
LUONIUSHAN CO LTD,4.7,10.67M,5.458B,Process industries
CCCG REAL ESTATE C,7.94,46.525M,5.551B,Finance
NORTH COPPER CO LT,8.19,26.799M,14.889B,Non-energy minerals
AECC AERO-ENGINE C,19.18,4.566M,23.805B,Electronic technology
APELOA PHARMACEUTI,14.87,6.363M,17.446B,Health technology
SEALAND SECURITIES,2.9,31.103M,18.903B,Finance
HULUDAO ZINC INDUS,2.46,6.433M,4.071B,Distribution services
TIBET DEVELOPMENT,7.13,835.445K,1.862B,Consumer non-durables
FUJIAN ZHANGZHOU D,2.64,4.703M,2.647B,Retail trade
SHANXI HI-SPEED GP,5.35,64.779M,7.131B,Transportation
SHANDONG XINHUA PH,14.55,6.9M,8.135B,Health technology
SICHUAN HAOWU ELEC,2.67,7.617M,1.428B,Retail trade
CHINA NONFERROUS,4.45,13.379M,9.094B,Non-energy minerals
ZHONGBAI HOLDINGS,2.81,9.172M,1.869B,Retail trade
BENGANG STL PLATE,2.44,4.793M,9.646B,Non-energy minerals
TIBET MINERAL DEVM,18.44,25.002M,9.96B,Non-energy minerals
TONGHUA GH PHARMAC,12.86,14.319M,12.651B,Health technology
JINNENG HOLDING SH,2.28,5.264M,7.015B,Utilities
AVIC XI'AN AIRCRA,23.67,12.271M,65.567B,Electronic technology
GF SECURITIES CO,11.64,15.278M,80.013B,Finance
SUFA TECHNOLOGY IN,14,10.428M,5.334B,Producer manufacturing
XINXING DUCTILE IR,3.39,18.91M,13.513B,Non-energy minerals
GANSU ENGINEERING,5.91,5.056M,2.757B,Distribution services
GUANGDONG HIGHSU.M,4.09,1.951M,2.829B,Process industries
CHANGJIANG SECURIT,4.83,22.39M,27.097B,Finance
EASYHOME NEW RETAI,2.4,19.621M,15.2B,Retail trade
