Name,Share Price (CNY),Total Volume,Maeket Capitalization in (CNY),Industry
CHN ENERGY CHANGYU,4.07,6.561M,11.217B,Utilities
INFORE ENVIRONMENT,4.12,8.46M,12.96B,Producer manufacturing
SHANXI BLUE FLAME,5.88,3.792M,5.737B,Process industries
ADVANCED TECH&MAT,7.96,7.167M,8.459B,Non-energy minerals
BEIJING ZHONG KE S,8.02,6.243M,9.947B,Non-energy minerals
CHALKIS HEALTH IND,2.22,18.457M,1.789B,Consumer non-durables
FSPG HI-TECH C,3.65,5.677M,3.589B,Process industries
SHANJIN INTERNATIO,17.68,18.289M,49.354B,Non-energy minerals
IEIT SYSTEMS CO LT,31.46,36.293M,47.817B,Electronic technology
GUILIN TOURISM COR,5.7,3.268M,2.743B,Consumer services
ZOTYE AUTOMOBILE C,1.43,113.516M,7.488B,Producer manufacturing
SENSTEED HI TECH G,1.07,161.158M,10.073B,Producer manufacturing
SHANXI COKING CO.E,7.65,18.057M,43.714B,Energy minerals
DAQING HUAKE CO. L,11.94,509K,1.565B,Process industries
GUANGZHOU YUEXIU.H,4.9,10.115M,24.985B,Finance
HUAGONG TECH CO,29.4,12.758M,30.145B,Producer manufacturing
JIUZHITANG CO.LTD,6.48,2.533M,5.364B,Health technology
CHENGZHI CO. LTD.,6.44,7.932M,7.689B,Process industries
FUJIAN MINDONG ELE,7.74,2.919M,3.581B,Utilities
GANSU HUANGTAI WIN,8.46,4.502M,1.54B,Consumer non-durables
NEWLAND DIGITAL TE,12.34,6.446M,12.73B,Electronic technology
YUAN LONGPING HIGH,8.97,19.861M,12.058B,Process industries
CHINA RESOURCES SA,42.88,6.434M,54.327B,Health technology
DONGRUI FOOD GROUP,14.83,2.52M,3.89B,Consumer non-durables
GUANGDONG JUSHEN L,10.25,467.8K,1.34B,Transportation
DAZHONG MINING,7.73,4.882M,11.883B,Non-energy minerals
NANJING SHENGHANG,14.31,763.58K,2.469B,Transportation
TIANJIN YIYI HYGIE,12.24,1.132M,2.293B,Consumer non-durables
SHANDONG LINK SCIE,12.83,883.6K,2.623B,Commercial services
HUNAN VALIN WIRE&C,8.63,37.16M,4.318B,Producer manufacturing
GUANGDONG HONGXING,12.72,1.147M,1.682B,Consumer non-durables
KINGFORE ENERGY GP,11.17,835.019K,1.481B,Industrial services
SUNCHA TECHNOLOGY,14.62,432.137K,1.052B,Non-energy minerals
SINOSTONE (GUANGDO,19.05,1.842M,2.288B,Non-energy minerals
CHINA RAILWAY SPEC,3.9,9.266M,17.422B,Transportation
ZHENGZHOU QIANWEIY,23.28,1.1M,2.35B,Consumer non-durables
HUNAN HUALIAN CHIN,11.43,5.914M,2.854B,Consumer durables
ANHUI HUAERTAI CHE,8.92,2.088M,3.023B,Process industries
HUNAN RESUN CO LTD,13.69,325.6K,1.82B,Process industries
QINGDAO FOODS CO L,10.8,4.094M,2.127B,Consumer non-durables
WENZHOU YUANFEI PE,10.16,668.14K,1.615B,Consumer non-durables
OK SCI AND TECH CO,32.75,456.365K,2.184B,Producer manufacturing
HANGZHOU HOTA M&E,27.98,208.7K,1.842B,Producer manufacturing
ANHUI TUOSHAN HEAV,20.57,1.592M,1.596B,Producer manufacturing
BANK OF LANZHOU CO,2.28,26.08M,12.872B,Finance
YONGTAIYUN CHEMICA,17.48,542K,1.813B,Transportation
GUANGDONG AVCIT TE,23.63,1.406M,2.413B,Electronic technology
JINGLV ENVIRONMENT,13.98,621.034K,1.867B,Consumer non-durables
NORSYN CROP TECHNO,13.17,837.253K,808.596M,Process industries
JIANGSU TIMES TEXT,15.43,1.112M,1.684B,Consumer non-durables
HOLLY FUTURES CO L,6.95,15.024M,306.303M,Finance
ZHEJIANG ZHENGTE C,20.76,515.7K,2.191B,Consumer durables
XIANGTAN YONGDA MA,13.37,4.441M,3.254B,Producer manufacturing
ZHEJIANG BOFAY ELE,20.05,410.7K,1.648B,Process industries
ZHEJIANG WEIGANG T,12.91,544.4K,1.773B,Producer manufacturing
XINJIANG LIXIN ENE,5.64,2.619M,3.971B,Utilities
BEIJING LIVEN TECH,18.94,592.5K,1.416B,Consumer durables
SHANDONG KUNTAI NE,12.79,913.703K,1.5B,Process industries
SHANGHAI SMART CON,18.66,3.326M,1.84B,Producer manufacturing
HUI LYU ECOLOGICAL,5.82,11.551M,4.716B,Commercial services
GUANGDONG YANGSHAN,15.38,914K,1.691B,Producer manufacturing
INNER MONGOLIA OJI,24.79,2.62M,4.921B,Electronic technology
ZHEJIANG CHENGCHAN,30.26,3.052M,5.24B,Electronic technology
NINGBO YIBIN ELECT,13.56,1.318M,1.734B,Producer manufacturing
WUHU SANLIAN FORGI,16.55,1.987M,2.401B,Producer manufacturing
SHENZHEN HIGHPOWER,33.03,1.935M,2.749B,Producer manufacturing
SHAANXI ENERGY INV,9.55,19.626M,32.801B,Utilities
SHENZHEN CECPORT T,17.15,41.275M,13.749B,Distribution services
SICHUAN ZIGONG CON,23.83,581.831K,3.825B,Producer manufacturing
CHONGQING CHANGJIA,13.95,690.03K,2.103B,Non-energy minerals
SHENZHEN BEST OF B,27.65,44.174M,5.619B,Distribution services
SHANXI MEINENG CLE,11.34,1.532M,2.066B,Utilities
SPORTSOUL CO LTD,9.73,2.175M,2.373B,Consumer durables
SHIJIAZHUANG SHANG,37.1,1.734M,9.41B,Producer manufacturing
ZHEJIANG XIASHA PR,46.87,1.122M,3.068B,Producer manufacturing
SHENZHEN KTC TECHN,18.68,1.825M,13.003B,Producer manufacturing
SHENZHEN TECHWINSE,71.38,3.068M,10.332B,Electronic technology
CHUZHOU DUOLI AUTO,21.14,1.138M,5.109B,Producer manufacturing
GUANGDONG YUEHAI F,7.05,9.889M,4.82B,Process industries
EMDOOR INFORMATION,37.23,8.812M,5.398B,Electronic technology
LUBAIR AVIATION TE,28.06,1.018M,2.333B,Distribution services
SAN YANG MA (CHONG,27.33,4.563M,2.104B,Transportation
JIANGXI SUNSHINE D,10.19,5.341M,2.86B,Consumer non-durables
WINSTECH PRECISION,15.73,3.751M,2.251B,Producer manufacturing
ARROW HOME GROUP C,6.51,2.026M,6.348B,Producer manufacturing
DE RUCCI HEALTHY S,28.38,790.338K,8.906B,Consumer durables
CHANGZHOU EVERGREE,14.78,729.131K,2.048B,Non-energy minerals
SHENZHEN SNC OPTO,30.9,494.796K,2.337B,Producer manufacturing
DENCARE (CHONGQING,24.39,873.166K,4.248B,Consumer non-durables
BONA FILM GROUP CO,4.11,10.013M,5.869B,Consumer services
SENTON ENERGY CO,9.75,843.72K,2.1B,Energy minerals
WUXI CHEMICAL EQUI,21.74,530.79K,2.378B,Producer manufacturing
ZHEJIANG GUANGHUA,15.36,844.237K,1.833B,Process industries
HANGZHOU CHUHUAN S,15.24,1M,1.119B,Producer manufacturing
SICHUAN GOLD CO LT,22.43,3.981M,9.652B,Non-energy minerals
GDH SUPERTIME GROU,9.21,3.452M,4.711B,Consumer non-durables
JWIPC TECHNOLOGY C,28.41,9.411M,7.276B,Technology services
SHAOXING XINGXIN N,21.19,3.747M,3.058B,Process industries
PAMICA TECH CO,20.37,3.759M,3.742B,Process industries
NANCHANG MINERAL S,11.99,1.104M,2.1B,Producer manufacturing
BOEN GROUP CO LTD,9.67,1.624M,1.592B,Process industries
ZHEJIANG HAISEN PH,23.63,766.115K,2.389B,Process industries
TONGDA SMART TECH,16.71,558K,1.872B,Producer manufacturing
JIANGSU TOPFLY NEW,22.81,794.9K,1.616B,Health technology
JIANGXI BESTOO ENE,15.78,1.595M,7.388B,Distribution services
GUANGDONG DECRO FI,21.22,936.865K,2.931B,Producer manufacturing
SHANDONG TENGDA FA,25.73,23.956M,5.718B,Producer manufacturing
HWAWAY TECH CORP L,15.56,961.385K,2.682B,Producer manufacturing
HEFEI SNOWKY ELECT,13.34,1.325M,2B,Consumer durables
DELTON TECHNOLOGY,35.8,2.145M,15.688B,Electronic technology
CHONGQING ZONGSHEN,11.88,130.059M,13.317B,Producer manufacturing
CHINA MERCHANTS P.,21.54,5.357M,50.657B,Transportation
HENAN YUNENG HLDG,3.52,7.798M,5.417B,Utilities
CHINA MERCHANTS P,8.59,3.553M,9.172B,Finance
CHINA MERCHANTS EX,13,15.126M,87.846B,Transportation
CHINA MERCHANTS SH,9.1,45.235M,79.801B,Finance
ZHEJIANG NHU CO,19.33,38.492M,60.644B,Health technology
ZHEJIANG WEIXING I,12.65,6.065M,14.107B,Producer manufacturing
HUAPONT-LIFE SCIEN,4.14,9.435M,8.245B,Process industries
ELEC-TECH INTL CO,1.11,3.404M,1.963B,Consumer durables
ZHEJIANG JINGGON.I,10.99,3.009M,5.107B,Producer manufacturing
HUALAN BIOLOGICA.E,15,5.499M,27.852B,Health technology
HAN'S LASER TECHNO,18.54,15.766M,19.68B,Producer manufacturing
MIRACLE AUTOMATION,10.94,25.426M,4.835B,Producer manufacturing
TRANSFAR ZHILIAN C,3.68,7.303M,10.218B,Process industries
ZHEJIANG DUN AN AR,9.8,5.544M,10.622B,Producer manufacturing
ZHEJIANG KAN SPECI,3.4,11.355M,1.59B,Process industries
HUANGSHAN NOVEL CO,9.02,1.489M,5.297B,Process industries
GCL ENERGY TECHNOL,6.69,10.066M,11.071B,Utilities
GUANGDONG SHIRONGZ,6.19,7.315M,5.008B,Health technology
EASTCOMPEACE TECH,7.78,5.695M,4.603B,Electronic technology
YIFAN PHARMACEUTIC,10.59,5.965M,12.919B,Health technology
ZHEJIANG JINGXIN P,11.37,9.291M,9.21B,Health technology
ZOJE RESOURCES INV,1.6,54.764M,1.965B,Producer manufacturing
SHANGHAI KEHUA BIO,5.56,12.661M,3.001B,Health technology
SICHUAN HAITE HIGH,8.55,8.609M,6.256B,Transportation
SUNING COM,1.24,10.021M,11.385B,Retail trade
GUIZHOU SPACE APPL,42.81,3.293M,19.997B,Electronic technology
SHANDONG WEIDA MAC,7.65,5.364M,3.631B,Producer manufacturing
FOCUS MEDIA INFORM,5.57,65.143M,81.021B,Producer manufacturing
SIEYUAN ELECTRIC C,65.77,4.223M,49.999B,Electronic technology
FUJIAN SEPTWOLVES,4.92,4.013M,3.213B,Consumer non-durables
DAAN GENE CO LTD,5.96,62.109M,8.638B,Health technology
GREATOO INTELLIGEN,2.36,86.301M,5.081B,Finance
ZHEJIANG SUPOR CO,50.41,910.787K,39.314B,Consumer durables
LIJIANG YULONG TOU,8.12,5.907M,4.577B,Consumer services
WANGNENG ENVIRONME,13.22,1.163M,5.707B,Industrial services
VATTI CORPORATION,5.92,10.914M,4.965B,Consumer durables
LIANCHUANG ELECTRO,6.23,17.759M,6.85B,Electronic technology
POLY UNION CHEMICA,6.81,42.019M,3.663B,Industrial services
BEIJING SL PHARMAC,6.79,4.896M,7.057B,Health technology
GUIZHOU QIANYUAN P,17.4,2.982M,7.303B,Utilities
NANJING PORT CO LT,5.36,1.891M,2.645B,Transportation
SHANDONG DENGHAI S,7.64,6.334M,6.908B,Process industries
HUAFU FASHION CO L,2.99,10.088M,4.855B,Process industries
DEHUA TB NEW DECOR,9.25,3.252M,7.242B,Non-energy minerals
MEINIAN ONEHEALTH,3.36,23.957M,13.383B,Health services
GUOGUANG ELECTRIC,11.33,18.595M,6.472B,Consumer durables
SINOMACH PRECISI.G,9.61,6.546M,5.141B,Producer manufacturing
SHENZHEN BAUING CO,1.61,20.466M,2.404B,Producer manufacturing
NINGBO HUAXIANG EL,11.84,2.417M,9.769B,Producer manufacturing
UNIGROUP GUOXIN MI,45.23,9.095M,39.304B,Electronic technology
ZHEJIANG SANHUA IN,16.24,25.254M,61.229B,Producer manufacturing
CHINA CAMC ENGINEE,6.87,3.377M,8.55B,Industrial services
SHENZHEN COSHIP EL,1.81,23.224M,1.283B,Electronic technology
YUNNAN ENERGY INV.,10.57,2.712M,9.815B,Process industries
DYMATIC CHEMICALS,4.67,1.392M,2.271B,Process industries
SHENZHEN DEREN ELE,6.03,16.215M,3.78B,Producer manufacturing
HENGDIAN GROUP DME,11.81,5.58M,19.189B,Producer manufacturing
SINOSTEEL NEW MATE,6.08,2.989M,4.683B,Process industries
SHANGHAI WELLTECH,7.04,2.037M,1.039B,Electronic technology
YUNNAN TOURISM CO,4.66,12.187M,4.87B,Consumer services
GUANGDONG CONST EN,3.27,8.334M,12.389B,Industrial services
ZHEJIANG COMMUNI.T,3.55,9.958M,9.279B,Industrial services
HONGRUN CONSTRUCT,3.33,3.491M,3.726B,Industrial services
YGSOFT INC,4.88,15.075M,9.525B,Technology services
HUAFON CHEMICAL CO,7.15,12.511M,35.879B,Process industries
DHC SOFTWARE CO,4.28,21.5M,14.072B,Technology services
RUITAI MATERIALS T,7.48,1.679M,1.739B,Non-energy minerals
ZHEJIANG JINGXING,2.77,39.069M,3.498B,Process industries
JIANGXI BLACK CAT,5.71,7.337M,4.162B,Process industries
ZONECO GROUP CO LT,2.73,23.845M,1.717B,Process industries
KAIRUIDE HOLDING C,4.05,18.014M,1.452B,Technology services
MESNAC CO.LTD,6.18,11.57M,6.431B,Producer manufacturing
GOTION HIGH-TECH,18.72,28.918M,33.306B,Producer manufacturing
JIANGSU SHAGANG GR,4.6,71.333M,10.468B,Non-energy minerals
CNLIGHT CO. LTD.,1.45,15.81M,1.647B,Producer manufacturing
JIANGSU DAGANG CO,11.05,7.321M,6.482B,Finance
SHANDONG SUNPAPER,12.26,5.817M,34.36B,Process industries
SUZHOU GOOD-ARK EL,7.3,6.764M,6.053B,Electronic technology
SINOMA SCIENCE & T,9.73,9.603M,16.664B,Process industries
SUZHOU GOLD MANTIS,3.03,9.388M,7.994B,Industrial services
WANBANGDE PHARMACE,4.21,3.162M,2.604B,Health technology
SUNVIM GROUP CO LT,4.51,4.722M,3.142B,Process industries
GUANGZHOU SEAGULL,2.61,19.894M,1.607B,Producer manufacturing
ZHEJIANG WANFENG,11.68,89.952M,23.478B,Producer manufacturing
SHANDONG ORIENTAL,2.03,7.425M,4.133B,Consumer non-durables
LUYANG ENERGY-SAVI,10.44,918.82K,5.322B,Producer manufacturing
WISCOM SYSTEM CO,6.95,3.608M,2.824B,Electronic technology
JIANGSU GUOTAI IN,6.14,4.015M,10.059B,Commercial services
XINJ ZHONGTAI CHEM,3.37,8.151M,8.439B,Distribution services
GUOMAI TECHNOLOGIE,5.74,6.613M,5.886B,Communications
QINGDAO KINGKING,2.06,44.246M,1.513B,Consumer non-durables
ZHEJIANG NETSUN CO,10.87,2.749M,2.851B,Technology services
EXPLOSIVE CO LTD,10.91,6.511M,13.905B,Process industries
SUNWARD INTELLIGEN,5.4,9.604M,5.859B,Producer manufacturing
FUJIAN SBS ZIPPER,7.23,2.892M,2.578B,Producer manufacturing
ZHEJIANG HISOAR PH,5.19,4.197M,8.407B,Health technology
TECON BIOLOGY CO L,6.25,20.256M,8.601B,Process industries
GUANGDONG HONGTU T,9.48,3.536M,6.44B,Producer manufacturing
HUBEI NENGTER TECH,2.64,53.952M,7.24B,Process industries
GUANGBO GROUP STOC,4.88,11.673M,2.607B,Producer manufacturing
HENGBAO CO. LTD.,5.07,7.313M,3.615B,Electronic technology
HL CORP.(SHENZHEN),3.95,2.697M,1.446B,Consumer durables
SHENZHEN LAIBAO HI,8.77,7.572M,6.317B,Electronic technology
SHANDONG WOHUA PHA,3.74,2.886M,2.17B,Health technology
CANGZHOU MINGZHU P,3,7.778M,5.102B,Producer manufacturing
SHAANXI XINGHUA CH,2.45,5.024M,3.165B,Process industries
SANSTEEL MINGUANG,2.66,7.672M,6.631B,Non-energy minerals
WEIHAI GUANGTAI AI,9.41,4.146M,5.058B,Producer manufacturing
SAN BIAN SCI-TECH,8.66,10.941M,2.241B,Producer manufacturing
YUNNAN LUOPING ZIN,4.44,4.989M,1.462B,Non-energy minerals
SUNWAVE COMMUNICAT,4.13,10.203M,3.414B,Commercial services
CHINA HAISUM ENGIN,8.43,3.197M,4.025B,Industrial services
TUNGKONG INC,6.37,10.288M,3.787B,Commercial services
NINGBO KANGQIANG E,10.44,10.659M,3.997B,Producer manufacturing
YUNDA HOLDING CO L,6.26,14.713M,18.439B,Transportation
SHENZHEN CLOU ELEC,3.38,5.706M,5.697B,Electronic technology
HUIZHOU INTELLIGEN,1.84,20.223M,3.773B,Producer manufacturing
MONTNETS CLOUD TEC,5.66,13.574M,4.492B,Technology services
TECH-BANK FOOD CO,2.3,22.978M,5.155B,Process industries
XIANGTAN ELECTROCH,8.19,4.627M,5.262B,Producer manufacturing
ZHEJIANG YINLUN MA,14.88,10.844M,12.526B,Producer manufacturing
NANJI E-COMMERCE C,2.55,21.056M,6.145B,Retail trade
INNER MONGOLIA DIA,17.77,6.391M,40.012B,Non-energy minerals
TCL ZHONGHUAN RENE,7.42,59.098M,30.967B,Electronic technology
SHENZHEN WOER HEAT,14.6,123.415M,17.444B,Producer manufacturing
LEO GROUP CO LTD,1.39,65.336M,9.616B,Producer manufacturing
HENAN HENGXING SCI,2.12,19.983M,2.824B,Producer manufacturing
COSMOS GROUP CO LT,2.02,6.659M,1.587B,Finance
TIANJIN PRINTRONIC,7.83,3.301M,1.974B,Electronic technology
ZHEJIANG S/EAST SP,3.76,4.783M,4.319B,Producer manufacturing
ANHUI ANNADA TITAN,8.62,2.53M,1.89B,Process industries
SHENZHEN SEA STAR,4.8,16.834M,2.806B,Electronic technology
SZ SUNLORD ELECTRO,23.78,11.236M,19.638B,Electronic technology
SHENZHEN TOPBAND C,9.34,11.777M,11.667B,Electronic technology
EAST CN ENG S&T CO,6.56,2.209M,4.662B,Industrial services
INFUND HOLDING CO,1.13,20.892M,1.305B,Non-energy minerals
BANK OF NINGBO CO.,20.85,40.169M,136.1B,Finance
HONGDA HIGH-TECH H,8.14,1.267M,1.444B,Process industries
CNNC HUA YUAN TITA,3.26,50.265M,13.084B,Process industries
RISESUN REAL EST D,1.34,53.02M,5.827B,Finance
BEIJING BEWINNER C,4.52,13.749M,2.494B,Technology services
WESTERN METAL MATE,12.32,2.566M,6.029B,Non-energy minerals
JIANGSU TONGRUN EQ,11.58,6.595M,4.381B,Producer manufacturing
BEIJING BDSTAR NAV,23.4,3.381M,13.662B,Electronic technology
GRG BANKING EQUIPM,9.19,10.132M,23.244B,Electronic technology
BEIJING SHIJI INFO,4.94,14.067M,13.971B,Technology services
BAOXINIAO HOLDING,3.4,33.175M,5.01B,Consumer non-durables
HUNAN GOLD CORPORA,16.03,43.439M,19.293B,Non-energy minerals
TONGFU MICROELECTR,19.17,43.644M,29.468B,Electronic technology
JG/ZHENGBANG TECH,2.63,21.756M,24.682B,Process industries
S/HANBELL PREC. MA,16.55,1.933M,8.958B,Producer manufacturing
W/SANTE CABLEWAYS,12.68,1.379M,2.305B,Consumer services
JIANGSU ALCHA ALU,2.91,9.935M,3.088B,Non-energy minerals
INVENGO INFORMATIO,4.03,6.679M,3.006B,Electronic technology
SHANGHAI EVERJOY H,2.72,6.851M,2.541B,Producer manufacturing
HAINAN DEVELOPMEN.,5.51,3.798M,4.715B,Process industries
NINGBO DONLY,3.66,4.236M,1.996B,Producer manufacturing
HONGBAOLI GROUP CO,3.3,8.679M,2.493B,Process industries
GUILIN LAYN NATURA,6.59,6.996M,4.971B,Consumer non-durables
GUANGDONG ORIENT Z,5.24,61.523M,3.723B,Process industries
CHONGQING HIFUTURE,2.78,33.173M,2.274B,Technology services
GUANGZHOU ZHIGUANG,4.16,4.702M,3.264B,Producer manufacturing
SHENZHEN BATIAN EC,5.61,6.607M,5.071B,Process industries
ANHUI TRUCHUM ADVA,5.57,8.72M,7.176B,Non-energy minerals
JIANGSU AOYANG HEA,2.36,6.743M,1.821B,Process industries
INNOVATION MEDICAL,6.06,10.005M,2.632B,Distribution services
YOOZOO INTERACTIVE,7.08,20.625M,6.567B,Technology services
GUANGXI ORIENTAL I,1.7,24.222M,2.285B,Consumer durables
JIANGXI SPECIAL EL,6.57,22.065M,11.603B,Producer manufacturing
GZ KINGTELLER TECH,3.24,41.355M,2.641B,Electronic technology
S/H YANHUA SMART G,3.22,15.322M,2.364B,Industrial services
AVIC JONHON OPTR,35.02,9.289M,74.72B,Electronic technology
NINESTAR CORP,23.53,5.306M,35.72B,Electronic technology
GUANGDONG GUANGZHO,3.1,7.703M,3.762B,Commercial services
BAOWU MAGNESIUM TE,9.09,8.424M,9.283B,Non-energy minerals
ETERNAL ASIA SUPPL,2.75,16.213M,7.27B,Transportation
SHANGHAI HI-TECH C,7.93,2.143M,2.854B,Electronic technology
TIANSHUI HUATIAN T,7.65,20.937M,24.77B,Electronic technology
CHINA QUANJUDE GP,8.34,2.692M,2.611B,Consumer services
GUANGZHOU GRANDBUY,4.15,2.002M,2.957B,Retail trade
ZHONGTIAN SERVICE,3.92,4.431M,1.161B,Finance
COSTAR GROUP CO LT,15.5,12.455M,3.955B,Electronic technology
SICHUAN CHENGFEI I,13.46,1.216M,4.897B,Producer manufacturing
SHENZHEN JINJIA GR,3.46,6.021M,4.993B,Commercial services
YOUNGY CO LTD,29.3,13.366M,8.049B,Non-energy minerals
SHANDONG RUYI WOOL,3.76,14.116M,895.067M,Process industries
WUHAN FINGU ELECTR,7.65,7.004M,5.298B,Electronic technology
SHANGHAI STONEHILL,2.27,59.228M,13.147B,Technology services
ZHEJIANG FOUNDER M,4.17,15.599M,1.989B,Producer manufacturing
SHENZHEN ZHENGTONG,3.06,8.33M,1.917B,Electronic technology
GUANGDONG JIAYING,6.29,2.195M,3.248B,Health technology
ZJ EAST CRYSTAL EL,6.29,47.997M,1.653B,Electronic technology
YCIC ECO-TECHNOLOG,4.95,333K,916.982M,Industrial services
JIANGSU AMER NEW M,4.3,35.221M,2.932B,Process industries
GOLDWIND SCI&TECH,7.36,20.423M,28.096B,Producer manufacturing
ZHEJIANG HAILIANG,7.91,4.955M,16.319B,Non-energy minerals
DH HEAVY IND GP CO,3.9,12.569M,7.629B,Non-energy minerals
XINJIANG GUOTONG P,5.96,3.14M,1.139B,Producer manufacturing
ZHEJIANG HAILIDE N,3.48,7.195M,3.927B,Process industries
XINJIANG ZHUNDONG,4.4,19.243M,1.137B,Industrial services
HEFEI URBAN CONSTR,4.3,5.73M,3.51B,Finance
GZ TECH-LONG PACKA,7.68,7.954M,1.562B,Producer manufacturing
SHENZHEN FEIMA INT,1.4,7.323M,3.752B,Transportation
SHANGHAI HONGDA NE,2.37,6.234M,1.047B,Process industries
TOPSEC TECHNOLOGIE,4.2,23.315M,4.883B,Producer manufacturing
SHENZHEN DAWEI INN,8.88,2.75M,2.157B,Producer manufacturing
ZHEJIANG DALI TECH,10.98,2.681M,6.593B,Electronic technology
SHENZHEN NOPOSION,6.34,6.979M,6.355B,Process industries
SANQUAN FOOD CO,10.35,2.317M,9.239B,Consumer non-durables
HOLITECH TECHNOLOG,1.2,27.95M,3.735B,Process industries
SZ TOPRAYSOLAR CO.,2.71,8.007M,3.872B,Electronic technology
NEW JOURNEY HEALTH,1.71,29.242M,5.906B,Health technology
ORIENTAL ENERGY CO,8.29,2.109M,12.528B,Energy minerals
CASTECH INC,20.4,7.845M,9.861B,Electronic technology
JIANGSU YUYUE MEDI,34.02,4.531M,33.942B,Health technology
SANLUX CO LTD,3.58,2.142M,3.22B,Process industries
PUYANG REFRACTORIE,3.19,10.199M,3.243B,Non-energy minerals
ANHUI JIANGNAN CHE,4.19,7.753M,11.094B,Process industries
SHENZHEN AUTO ELEC,7.38,1.689M,1.851B,Producer manufacturing
XIAMEN HEXING PACK,2.31,3.59M,2.779B,Process industries
HONGBO CO LTD,8.3,24.047M,4.242B,Commercial services
IFLYTEK CO LTD,33.08,24.729M,75.312B,Technology services
ALLWIN TELECOMMUNI,4.38,10.688M,1.38B,Electronic technology
QIMING INFORMATION,17.02,42.122M,7.052B,Technology services
GUANGDONG TAPAI GR,6.75,5.208M,7.997B,Non-energy minerals
SHANDONG MINHE ANI,7.8,1.828M,2.757B,Process industries
XIAMEN ANNE CORPOR,3.8,10.231M,2.272B,Process industries
ZHEJIANG DAHUA TEC,13.03,26.388M,43.121B,Electronic technology
SHANDONG HUMON SME,10.12,11.211M,11.768B,Non-energy minerals
SHENZHEN TOPWAY VI,7,6.012M,5.843B,Consumer services
AOTECAR NEW ENERGY,2.25,24.002M,7.395B,Producer manufacturing
CHENGXIN LITHIUM G,11.54,9.69M,10.87B,Non-energy minerals
GOERTEK INC.,20.38,65.808M,69.436B,Consumer durables
JOYOUNG CO. LTD.,9.97,2.157M,7.709B,Consumer durables
SHENZHEN LEAGUER C,5.27,5.656M,6.489B,Process industries
HANGZHOU BINJIANG,8.09,29.247M,25.061B,Finance
JIANGSU AZURE CORP,7.55,11.213M,8.823B,Distribution services
NORTH CHEMICAL IND,9.18,55.286M,4.842B,Process industries
ZHEJIANG JULI CULT,1.43,15.344M,1.225B,Non-energy minerals
WEIHAI HUADONG AUT,6.27,16.263M,2.014B,Technology services
ZHONGSHAN BROAD OC,4.4,11.884M,10.676B,Producer manufacturing
LIANHE CHEMICAL TE,4.58,6.396M,4.321B,Process industries
BETTER LIFE COMMER,2.81,8.956M,7.533B,Retail trade
S/H RAAS BLOOD PRO,7.42,19.675M,49.539B,Health technology
WISESOFT CO LTD,9.6,4.875M,2.211B,Technology services
TAYHO ADVANCED MAT,8.11,14.525M,6.807B,Consumer non-durables
SUZHOU HAILU HEAVY,4.2,11.321M,3.681B,Producer manufacturing
SHENZHEN SUNRISE N,1.63,34.207M,3.265B,Process industries
LIER CHEMICAL CO,7.04,2.85M,5.699B,Process industries
SICHUAN SHENGDA FO,2.27,845.4K,1.715B,Utilities
TALKWEB INFORMATIO,9.82,53.602M,11.907B,Technology services
JIANGSU NHWA PHARM,25.83,2.993M,26.167B,Health technology
Z/J GREAT S/E CO L,1.88,4M,3.588B,Process industries
NEW HUADU TECHNOLO,4.61,6.914M,3.292B,Commercial services
JIANSHE INDUSTRY G,8.2,1.606M,8.564B,Commercial services
ZHEFU HOLDING GROU,2.8,12.026M,14.849B,Producer manufacturing
SHAANXI PROVINCIAL,6.87,4.347M,7.629B,Utilities
CETC CYBERSPACE SE,11.54,8.029M,10.064B,Technology services
SH/METERSBONWE F&A,1.36,129.796M,3.417B,Consumer non-durables
HUAMING POWER EQUI,18.55,6.896M,16.5B,Producer manufacturing
BEIJING ORIENTAL Y,10.06,53.857M,24.509B,Process industries
SICHUAN CRUN CO LT,4.54,32.641M,2.086B,Producer manufacturing
ZHEJIANG QUARTZ CR,17.82,42.182M,25.102B,Electronic technology
JIANGSU HUACHANG C,6.65,4.764M,6.314B,Process industries
GUILIN SANJIN PHAR,12.96,785.899K,7.394B,Health technology
ZHEJIANG WANMA CO,6.22,7.885M,6.238B,Producer manufacturing
HUNAN FRIENDSHIP&A,2.15,10.171M,3.039B,Retail trade
SHANGHAI SK PETROL,4.24,11.632M,1.501B,Electronic technology
