Name,Stock Price,Market cap,Percentage change,Industry
SUDARSHAN PHARMA INDUSTRI          ,177.1,4.86Cr,117.86%,Other Pharmaceuticals
HINDUSTHAN URBAN INFRASTR         ,"2,925.50",4.85Cr,29.79%,Wires & Cables
M K PROTEINS LIMITED         ,11,4.85Cr,-60.74%,"Starch, Vegetable Fat & Oil Manufacturing"
THE BARODA RAYON CORPORAT          ,174.3,4.84Cr,-11.34%,Other Construction & Engineering
EXHICON EVENTS MEDIA SOLU          ,304.5,4.83Cr,-19.24%,Exhibition & Conference Services
WINSOL ENGINEERS LIMITED          ,343.85,4.8Cr,0.00%,Other Construction & Engineering
DUDIGITAL GLOBAL LIMITED          ,68.05,4.79Cr,15.05%,Other Business Support Services
EMAMI REALTY LIMITED        ,104.76,4.79Cr,-4.07%,Residential Real Estate Development
MURUDESHWAR CERAMICS LTD         ,64.69,4.78Cr,22.73%,Flooring & Interior Tile Manufacturers
REMEDIUM LIFECARE LIMITED          ,9.93,4.78Cr,-60.39%,Other Pharmaceuticals
SHIV AUM STEELS LIMITED         ,294,4.77Cr,-5.56%,Metal Merchant Wholesale
INVESTMENT PRECISION CAST         ,780.05,4.76Cr,23.81%,Other Steel
JAY SHREE TEA INDUSTRIES         ,136.8,4.76Cr,28.57%,Coffee & Tea
CHEMTECH INDUSTRIAL VALVE         ,277.85,4.76Cr,487.05%,Industrial Valve Manufacturing
HITECH CORPORATION LIMITE         ,229.75,4.76Cr,-10.13%,Plastic Containers & Packaging
NITIN CASTINGS LIMITED         ,808.6,4.74Cr,60.96%,"Iron, Steel Mills & Foundries"
SHREE RAMA MULTI TECH LIM        ,29.16,4.74Cr,-2.64%,Plastic Containers & Packaging
PANCHMAHAL STEEL LIMITED         ,211.65,4.74Cr,42.00%,"Iron, Steel Mills & Foundries"
CAPTAIN POLYPLAST LIMITED         ,77.79,4.73Cr,120.43%,Other Industrial Machinery & Equipment
PANASONIC ENERGY INDIA CO         ,523.25,4.72Cr,25.95%,Batteries & Uninterruptable Power Supplies
NILA SPACES LIMITED          ,10.04,4.72Cr,111.37%,Other Real Estate Development & Operations
SMS LIFESCIENCES INDIA LI         ,"1,307.75",4.72Cr,146.93%,Other Pharmaceuticals
INDIAN TONERS DEVELOPERS          ,368.8,4.7Cr,14.07%,Other Specialty Chemicals
RUCHI INFRASTRUCTURE LIMI        ,17.51,4.7Cr,50.95%,Other Ground Freight & Logistics
SAHYADRI INDUSTRIES LIMIT         ,368.95,4.7Cr,-9.22%,Other Construction Materials
ARIES AGRO LIMITED         ,303.95,4.7Cr,48.67%,Other Agricultural Chemicals
SIGMA SOLVE LIMITED          ,395.75,4.7Cr,-15.06%,Other IT Services & Consulting
A   ACID LIMITED          ,343.65,4.69Cr,-6.62%,Other Specialty Chemicals
PLAZA WIRES LIMITED          ,89.58,4.68Cr,-10.69%,Wires & Cables
MANGALAM INDUSTRIAL FINAN         ,3.96,4.67Cr,-5.94%,Other Corporate Financial Services
KINGS INFRA VENTURES LIMI         ,155.1,4.67Cr,-10.45%,Other Food Processing
KHODAY INDIA LIMITED         ,116.25,4.67Cr,-.--%,Other Brewers
PATELS AIRTEMP INDIA LIMI        ,701,4.66Cr,70.70%,"Heating, Ventilation & Air Conditioning Systems"
COASTAL CORPORATION LIMIT         ,287.05,4.65Cr,10.13%,Seafood Product Preparation & Packaging
NORTHERN SPIRITS LIMITED          ,243.1,4.65Cr,-34.30%,Other Distillers & Wineries
LORENZINI APPARELS LIMITE         ,23.1,4.64Cr,49.00%,Other Apparel & Accessories
SHERA ENERGY LIMITED          ,166.3,4.64Cr,16.33%,Nonferrous Metal Processing
SKP BEARING INDUSTRIES LI          ,222.7,46.18M,5.55%,Ball & Roller Bearings
PANCHSHEEL ORGANICS LIMIT         ,302.9,46.08M,54.54%,Other Pharmaceuticals
KERALA AYURVEDA LIMITED         ,324.4,45.8M,21.61%,Alternative Medicine Facilities
BANNARI AMMAN SPINNING MI        ,58.78,45.58M,23.62%,Other Textiles & Leather Goods
ROCKINGDEALS CIRCULAR ECO          ,674.6,45.55M,95.91%,Other Miscellaneous Specialty Retailers
MULTIBASE INDIA LIMITED         ,298.65,45.48M,29.34%,Plastics
SHREYANS INDUSTRIES LIMIT        ,268.6,45.43M,3.81%,Newsprint Mills
ENERGY MISSION MACHINERIE          ,320.05,45.31M,0.00%,Other Industrial Machinery & Equipment
INERTIA STEEL LIMITED         ,323,45.29M,121.23%,Other Steel
THE BYKE HOSPITALITY LIMI         ,73.97,45.24M,22.26%,"Other Hotels, Motels & Cruise Lines"
STAR PAPER MILLS LIMITED        ,243.72,45.1M,5.46%,Other Paper Products
GLOBAL EDUCATION LIMITED         ,192.95,45.02M,-35.72%,Miscellaneous Educational Service Providers
EXXARO TILES LIMITED          ,84.86,45.01M,-26.53%,Flooring & Interior Tile Manufacturers
VAARAD VENTURES LIMITED         ,14.46,44.99M,-7.49%,Other Corporate Financial Services
APOLLO SINDOORI HOTELS LI         ,"1,497.00",44.83M,-0.86%,Hotels & Motels
KAKA INDUSTRIES LIMITED          ,272.45,44.82M,54.49%,Plastics
ATLANTAA LIMITED        ,46,44.73M,89.69%,Other Construction & Engineering
FREDUN PHARMACEUTICALS LI          ,797.8,44.66M,-8.17%,Other Pharmaceuticals
BHILWARA TECHNICAL TEXTIL         ,65.05,44.65M,76.53%,Other Textiles & Leather Goods
VARIMAN GLOBAL ENTERPRISE          ,18.83,44.46M,5.20%,Other IT Services & Consulting
BGR ENERGY SYSTEMS LIMITE        ,54.05,44.32M,-44.42%,Other Construction & Engineering
UCAL LIMITED         ,166.7,44.3M,14.02%,"Other Auto, Truck & Motorcycle Parts"
MAGNA ELECTRO CASTINGS LI         ,894.75,44.18M,86.56%,"Iron, Steel Mills & Foundries"
TRIGYN TECHNOLOGIES LIMIT         ,123.75,44.13M,-7.65%,Other IT Services & Consulting
PRITHVI EXCHANGE INDIA LI         ,429.2,44.11M,203.43%,Brokerage Services
SOUTH WEST PINNACLE EXPLO         ,150.21,44.02M,-11.43%,Other Mining Support Services & Equipment
GP ECO SOLUTIONS INDIA LI          ,306.45,43.99M,0.00%,Electric Equipment Wholesale
MANGALAM GLOBAL ENTERPRIS         ,25.11,43.97M,51.72%,"Starch, Vegetable Fat & Oil Manufacturing"
STAR HOUSING FINANCE LIMI         ,46.71,43.96M,-37.30%,Other Consumer Lending
NDL VENTURES LIMITED         ,108.9,43.95M,-24.16%,Other Real Estate Services
MAHINDRA EPC IRRIGATION L         ,131.35,43.95M,-0.19%,Agricultural Machinery
VIRINCHI LIMITED         ,36.27,43.94M,12.81%,Application Software
SUMIT WOODS LIMITED         ,122.59,43.86M,136.43%,Other Real Estate Development & Operations
DRC SYSTEMS INDIA LIMITED          ,28.96,43.81M,112.16%,Other IT Services & Consulting
BROOKS LABORATORIES LIMIT         ,133.16,43.78M,-7.27%,Generic Pharmaceuticals
BEW ENGINEERING LIMITED          ,"1,450.00",43.77M,3.03%,Other Industrial Machinery & Equipment
ROBUST HOTELS LIMITED          ,213.95,43.74M,51.58%,"Other Hotels, Motels & Cruise Lines"
LUCENT INDUSTRIES LIMITED         ,256.55,43.73M,549.82%,Professional & Business Education
ALACRITY SECURITIES LIMIT         ,159.14,43.69M,417.87%,Other Investment Banking & Brokerage Services
K M SUGAR MILLS LIMITED         ,39.37,43.67M,24.83%,Sugar & Artificial Sweeteners
DYNAMIC SERVICES SECURITY          ,257.75,4.36Cr,101.92%,Executive Search Services
NORTH EASTERN CARRYING CO         ,34.54,4.34Cr,20.14%,Other Ground Freight & Logistics
SHYAM CENTURY FERROUS LIM         ,17.12,4.34Cr,-16.89%,"Iron, Steel Mills & Foundries"
RAVINDER HEIGHTS LIMITED          ,58.05,4.34Cr,9.43%,Other Real Estate Development & Operations
HINDUSTAN ORGANIC CHEMICA         ,51.4,4.33Cr,-9.97%,Other Commodity Chemicals
APOLLO FINVEST INDIA LIMI         ,924,4.32Cr,14.68%,Financial Technology (Fintech) (NEC)
GP PETROLEUMS LIMITED        ,70.73,4.32Cr,29.07%,Other Oil & Gas Refining and Marketing
K  INFRAGEN LIMITED          ,282,4.31Cr,0.00%,Other Construction & Engineering
SHAH METACORP LIMITED         ,6.74,4.31Cr,54.94%,Other Steel
RANA SUGARS LIMITED         ,23.43,4.3Cr,-1.10%,Sugar & Artificial Sweeteners
SYSTANGO TECHNOLOGIES LIM          ,246.85,4.3Cr,-5.33%,Other IT Services & Consulting
SICAGEN INDIA LIMITED         ,92.59,4.29Cr,68.78%,Construction Supplies & Fixtures Wholesale
MANAKSIA STEELS LIMITED         ,57.07,4.28Cr,19.52%,Other Steel
BEMCO HYDRAULICS LIMITED         ,"1,650.00",4.27Cr,73.41%,Industrial Machinery
SINTERCOM INDIA LIMITED         ,127.69,4.25Cr,1.10%,"Other Auto, Truck & Motorcycle Parts"
M K EXIM INDIA LIMITED         ,87.63,4.23Cr,12.20%,Synthetic Fabrics
MARUTI INFRASTRUCTURE LIM          ,37.75,4.22Cr,72.85%,Other Real Estate Development & Operations
CWD LIMITED          ,"1,049.95",4.22Cr,12.53%,Electronic Component
VETO SWITCHGEARS AND CABL         ,187.8,4.21Cr,63.23%,Other Electrical Components & Equipment
CHEMCRUX ENTERPRISES LIMI         ,225.85,4.19Cr,-26.53%,Other Pharmaceuticals
COMPETENT AUTOMOBILES COM         ,600.3,4.18Cr,51.65%,New Car Dealers
LAKSHMI ELECTRICAL CONTRO         ,"1,410.25",4.18Cr,-5.17%,Other Electrical Components & Equipment
SHREEOSWAL SEEDS AND CHEM         ,35.71,4.15Cr,-24.49%,Grain (Crop) Production
SHRADDHA PRIME PROJECTS L         ,175.4,4.15Cr,74.72%,Other Real Estate Development & Operations
ZODIAC CLOTHING COMPANY L        ,130.18,4.15Cr,3.11%,Men's Clothing
INDIA FINSEC LIMITED         ,145.7,4.14Cr,93.08%,Other Corporate Financial Services
INDO THAI SECURITIES LIMI         ,364.5,4.14Cr,59.55%,Other Investment Banking & Brokerage Services
LORDS CHLORO ALKALI LIMIT         ,138.05,4.14Cr,-18.94%,Other Commodity Chemicals
ALUFLUORIDE LIMITED         ,439.7,4.13Cr,-13.80%,Other Commodity Chemicals
TALBROS ENGINEERING LIMIT         ,693.05,4.12Cr,-2.81%,"Other Auto, Truck & Motorcycle Parts"
GLOBAL VECTRA HELICORP LI         ,241,4.11Cr,84.18%,Other Oil Related Services and Equipment
UMA EXPORTS LIMITED          ,101.75,4.1Cr,91.08%,Fishing & Farming Wholesale
A Z INFRA ENGINEERING LIM         ,19.14,4.1Cr,63.87%,Smart Grid & Power Distribution Construction
ASIAN HOTELS NORTH LIMITE         ,183.35,4.1Cr,-18.89%,Hotels & Motels
BHAGYANAGAR INDIA LIMITED         ,105.6,4.09Cr,2.16%,Other Electrical Components & Equipment
VIPUL ORGANICS LIMITED         ,258,4.08Cr,52.48%,Other Specialty Chemicals
RAJNANDINI METAL LIMITED         ,12.37,4.08Cr,17.25%,Nonferrous Metal Processing
DJ MEDIAPRINT LOGISTICS L          ,109.75,4.07Cr,115.41%,Other Commercial Printing Services
SANJIVANI PARANTERAL LIMI         ,286.8,4.07Cr,59.24%,Other Pharmaceuticals
LANCOR HOLDINGS LIMITED         ,45.74,4.06Cr,21.33%,Other Real Estate Development & Operations
FLUIDOMAT LIMITED         ,699.05,4.05Cr,16.59%,Industrial Parts & Components
SCAN STEELS LIMITED         ,71.18,4.05Cr,18.85%,"Iron, Steel Mills & Foundries"
MEGASTAR FOODS LIMITED          ,300.2,4.05Cr,-17.97%,Flour Milling
WELSPUN INVESTMENTS AND C        ,"1,022.05",4.05Cr,64.16%,Investment Banking
RAMA PHOSPHATES LIMITED         ,193.6,4.05Cr,-8.96%,Fertilizer
ARIHANT FOUNDATIONS HOUSI        ,402.1,4.05Cr,558.42%,Other Real Estate Development & Operations
INTENSE TECHNOLOGIES LIMI         ,144.1,4.04Cr,41.48%,Other Software
PURV FLEXIPACK LIMITED          ,156.15,4.02Cr,0.00%,Plastics
INTERNATIONAL COMBUSTION          ,"1,354.60",4.02Cr,-8.43%,Other Heavy Electrical Equipment
INDOWIND ENERGY LIMITED        ,25.53,4.01Cr,25.15%,Wind Electric Utilities
SEACOAST SHIPPING SERVICE          ,6.32,4.01Cr,97.50%,Textiles & Leather Goods Wholesale
BAMBINO AGRO INDUSTRIES L         ,403.8,4.01Cr,-2.87%,"Cookie, Cracker & Pasta Manufacturing"
TRIDENT LIFELINE LIMITED          ,306.6,4.01Cr,63.09%,Other Pharmaceuticals
SUPREME HOLDINGS HOSPITAL         ,89.43,4Cr,50.53%,Office Real Estate Development
LOYAL EQUIPMENTS LIMITED         ,311.95,4Cr,57.87%,"Heating, Ventilation & Air Conditioning Systems"
VEER GLOBAL INFRACONSTRUC          ,206,3.99Cr,58.46%,Other Real Estate Development & Operations
RDB RASAYANS LIMITED         ,184.5,3.99Cr,51.11%,Other Non-Paper Containers & Packaging
RAJNISH WELLNESS LIMITED          ,4.71,3.99Cr,-52.76%,Other Personal Products
RAJSHREE POLYPACK LIMITED         ,91.73,3.99Cr,31.73%,Plastic Containers & Packaging
SBEC SUGAR LIMITED         ,67.53,3.98Cr,79.89%,Other Food Processing
GOLDSTAR POWER LIMITED         ,13.95,3.95Cr,-16.96%,Batteries & Uninterruptable Power Supplies
INFLAME APPLIANCES LIMITE         ,435.8,3.94Cr,-26.04%,Household Appliances
MANGALAM WORLDWIDE LIMITE          ,131.7,3.94Cr,9.25%,"Iron, Steel Mills & Foundries"
COUNTRY CLUB HOSPITALITY         ,19.85,3.94Cr,44.15%,Hotels & Motels
AVONMORE CAPITAL MANAGEME          ,13.58,3.93Cr,67.04%,Other Corporate Financial Services
THE WATERBASE LIMITED         ,80.14,3.93Cr,3.19%,Aquaculture
MEDICO REMEDIES LIMITED         ,41,3.93Cr,-50.95%,Other Pharmaceuticals
UDAYSHIVAKUMAR INFRA LIMI          ,57.65,3.92Cr,49.55%,Other Construction & Engineering
SHREE RAMA NEWSPRINT LIMI        ,22.64,3.92Cr,29.37%,Other Paper Products
FELIX INDUSTRIES LIMITED         ,266.75,3.91Cr,6.47%,"Waste Management, Disposal & Recycling Services"
TREJHARA SOLUTIONS LIMITE         ,233.74,3.9Cr,29.86%,Enterprise Software
ASI INDUSTRIES LIMITED         ,36.94,3.9Cr,78.71%,Other Construction Materials
PARIN FURNITURE LIMITED         ,294,3.9Cr,162.50%,Other Business Support Supplies
UDAY JEWELLERY INDUSTRIES          ,154.95,3.89Cr,-22.85%,Jewelry
MARAL OVERSEAS LIMITED         ,78.77,3.89Cr,13.75%,Yarn Goods
NAGA DHUNSERI GROUP LIMIT         ,"3,256.25",3.88Cr,36.82%,Other Investment Management & Fund Operators
GEE LIMITED         ,125,3.88Cr,17.40%,Other Industrial Machinery & Equipment
G G ENGINEERING LIMITED         ,2.04,3.88Cr,-6.85%,Other Steel
CORAL LABORATORIES LIMITE         ,910,3.87Cr,109.12%,Other Pharmaceuticals
SEJAL GLASS LIMITED          ,321.15,3.87Cr,29.55%,Other Construction Supplies & Fixtures
