Name,Stock_price,Currency,Market Valuation,variation,Industry
ALPHA DHABI HOLDING,12.04,AED,32.67B,-35.96%,Consumer Goods Conglomerates
ARAD INVESTMENT & INDUSTRIAL DEVELOPMENT LTD.,"8,320.00",ILa,14Cr,-82.07%,Consumer Goods Conglomerates
BAAZEEM TRADING COMPANY,6.52,SAR,176M,0.31%,Consumer Goods Conglomerates
BERA HOLDING,15.05,TRY,310M,31.10%,Consumer Goods Conglomerates
DUBAI INVESTMENTS,2.04,AED,233.84Cr,-12.45%,Consumer Goods Conglomerates
INDUSTRIES QATAR Q.P.S.C.,12.88,QAR,21.4B,-1.53%,Consumer Goods Conglomerates
INTERNATIONAL HOLDING COMPANY,414,AED,248B,3.63%,Consumer Goods Conglomerates
JIYAD HOLDING COMPANY - K.S.C (PUBLIC),0.0174,KWD,1.05Cr,-4.40%,Consumer Goods Conglomerates
NATIONAL INDUSTRIES GROUP HOLDING - KPSC,0.224,KWD,173.87Cr,15.29%,Consumer Goods Conglomerates
QATAR INDUSTRIAL MANUFACTURING COMPANY Q.P.S.C.,2.532,QAR,331M,-15.60%,Consumer Goods Conglomerates
SPECIALITIES GROUP HOLDING COMPANY K.P.S.C.,0.1009,KWD,5.89Cr,2.85%,Consumer Goods Conglomerates
TRKIYE SISE VE CAM FABRIKALARI,42.58,TRY,3.81B,-7.03%,Consumer Goods Conglomerates
1000 YATIRIMLAR HOLDING ANONIM SIRKETI,380.25,TRY,54Cr,52.92%,Consumer Goods Rental
AL OMANIYA FINANCIAL SERVICES SAOG,0.166,OMR,14Cr,0.61%,Consumer Leasing
COMPREHENSIVE LEASING COMPANY,3.13,JOD,66.23M,0.97%,Consumer Leasing
DIRECT FINANCE OF DIRECT GROUP (2006)LTD,"55,500.00",ILa,499M,32.93%,Consumer Leasing
ESCAR FILO KIRALAMA HIZMETLERI,369.5,TRY,58Cr,131.55%,Consumer Leasing
MUSCAT FINANCE SAOG,0.045,OMR,35.9M,-13.46%,Consumer Leasing
RIYAL INVESTMENT AND DEVELOPMENT COMPANY,26.75,SAR,5.54Cr,-0.93%,Consumer Leasing
SHAGRIR GROUP VEHICLE SERVICES LTD,900,ILa,26.32M,36.34%,Consumer Repair Services
LKER BISKVI SANAYI,149.1,TRY,158.7Cr,82.16%,"Cookie, Cracker & Pasta Manufacturing"
OBA MAKARNACILIK SANAYI VE TICARET,34.4,TRY,489M,0.00%,"Cookie, Cracker & Pasta Manufacturing"
SELVA GIDA SANAYI,13.15,TRY,29.89M,18.15%,"Cookie, Cracker & Pasta Manufacturing"
PARK ELEKTRIK RETIM MADENCILIK SANAYI VE TICARET,19.82,TRY,86.9M,4.43%,Copper Ore Mining
INTELLIGENT OUD CO.,36.15,SAR,1.89Cr,-21.84%,Cosmetics & Perfumes
ROLANDOS ENTERPRISES PUBLIC LIMITED,0.018,EUR,1.09M,-7.69%,Cosmetics & Perfumes
PHOENIX GROUP PLC,1.65,AED,277.79Cr,-26.34%,Cryptocurrency Mining
ALTINKILIC GIDA VE SUT SANAYI TICARET ANONIM SIRKETI,32.82,TRY,109M,0.00%,Dairy Products
ARABIAN FOOD INDUSTRIES COMPANY (DOMTY) - S.A.E,11.26,EGP,65.23M,2.09%,Dairy Products
BALADNA Q.P.S.C.,1.346,QAR,703M,9.97%,Dairy Products
GUNDOGDU GIDA SUT URUNLERI SANAYI VE DIS TICARET ANONIM SIRKETI,42.34,TRY,48.61M,0.00%,Dairy Products
JORDAN DAIRY COMPANY LTD.,1.82,JOD,1.03Cr,-29.18%,Dairy Products
JUHAYNA FOOD INDUSTRIES S.A.E.,25.3,EGP,488M,61.46%,Dairy Products
OBOUR LAND FOR FOOD INDUSTRIES S.A.E.,10.4,EGP,85.28M,-2.80%,Dairy Products
PINAR ST MAMLLERI SANAYII,81.35,TRY,106M,22.42%,Dairy Products
THE ARAB DAIRY PRODUCTS CO.,2.17,EGP,22.24M,29.94%,Dairy Products
EDARAT COMMUNICATION AND INFORMATION TECHNOLOGY CO.,533,SAR,358M,182.76%,Data Processing Services
GSD DENIZCILIK GAYRIMENKUL INSAAT SANAYI VE TICARET,7.55,TRY,34.75M,-0.53%,Deep Sea Freight
GSD HOLDING,3.6,TRY,106M,0.56%,Deep Sea Freight
GULF NAVIGATION HOLDING,6.56,AED,1.45B,-10.50%,Deep Sea Freight
ARAN RESEARCH & DEVELOPMENT (1982) LTD.,"1,965.00",ILa,25.53M,-9.11%,Design Services
DEPA PLC,0.399,AED,148M,53.46%,Design Services
AERODROME GROUP LTD,59.8,ILa,1.47Cr,0.67%,Digital Media Agencies
BIM BIRLESIK MAGAZALAR,545,TRY,9.6B,81.21%,Discount Stores with Grocery
SOK MARKETLER TICARET,53.75,TRY,929M,-0.28%,Discount Stores with Grocery
BASIC CHEMICAL INDUSTRIES COMPANY,31,SAR,228M,-6.63%,Diversified Chemicals
EGYPT KUWAIT HOLDING COMPANY (S.A.E.),0.715,USD,80Cr,-9.03%,Diversified Chemicals
EGYPTIAN CHEMICAL INDUSTRIES,8.55,EGP,348M,-36.90%,Diversified Chemicals
ISRAEL CORPORATION LTD,"81,880.00",ILa,164.66Cr,-10.43%,Diversified Chemicals
METHANOL CHEMICALS COMPANY,15.28,SAR,28Cr,-24.36%,Diversified Chemicals
POLISAN HOLDING,12.13,TRY,27Cr,-14.09%,Diversified Chemicals
SAHARA INTERNATIONAL PETROCHEMICAL COMPANY,29.25,SAR,556.58Cr,-14.10%,Diversified Chemicals
JORDAN INTERNATIONAL TRADING CENTER CO.LTD.,1.04,JOD,4.99M,4.00%,Diversified Industrial Goods Wholesale
MILPA TICARI VE SINAI RNLER PAZARLAMA SANAYI VE TICARET,147.7,TRY,949M,280.47%,Diversified Industrial Goods Wholesale
NOPAR FOR TRADING & INVESTMENT COMPANY LTD,1.53,JOD,23.74L,86.59%,Diversified Industrial Goods Wholesale
SAUDI INDUSTRIAL EXPORT COMPANY,23.54,SAR,12Cr,-16.82%,Diversified Industrial Goods Wholesale
AEONIC SECURITIES C.I.F. PLC,1,EUR,728K,0.00%,Diversified Investment Services
AL MADAR KUWAIT HOLDING COMPANY K.S.C.P.,0.102,KWD,68.97M,27.50%,Diversified Investment Services
AL MADINA INVESTMENT HOLDING CO. SAOG,0.056,OMR,12.36M,12.00%,Diversified Investment Services
AL RAMZ CORPORATION INVESTMENT AND DEVELOPMENT,1.6,AED,240M,14.29%,Diversified Investment Services
AL-AMAN INVESTMENT COMPANY,60.9,KWF,27.63M,5.91%,Diversified Investment Services
AMWAJ PROPERTIES P.L.C.,0.23,JOD,0,-20.69%,Diversified Investment Services
ARAB EAST INVESTMENT COMPANY PLC,1.09,JOD,72.27M,2.83%,Diversified Investment Services
ARZAN FINANCIAL GROUP FOR FINANCING AND INVESTMENT - KPSC,0.168,KWD,46Cr,-16.79%,Diversified Investment Services
B INVESTMENTS HOLDING S.A.E.,23.5,EGP,11Cr,23.88%,Diversified Investment Services
BLITZ TECHNOLOGIES LTD,250,ILa,12.61L,-67.76%,Diversified Investment Services
COAST INVESTMENT & DEVELOPMENT COMPANY K.S.C.P.,0.063,KWD,95.89M,-7.22%,Diversified Investment Services
EURO TREND YATIRIM ORTAKLIGI,12.37,TRY,7.35M,32.16%,Diversified Investment Services
FUTURE ARAB INVESTMENT COMPANY,0.37,JOD,1.04Cr,0.00%,Diversified Investment Services
INTERNATIONAL FINANCIAL ADVISORS HOLDING - KPSC,0.328,KWD,494M,20.19%,Diversified Investment Services
JORDAN INVESTMENT TRUST P.L.C,0.91,JOD,35.01M,-6.19%,Diversified Investment Services
JORDANIAN EXPATRIATES INVESTMENT HOLDING COMPANY,0.54,JOD,1.11Cr,-3.57%,Diversified Investment Services
JORDANIAN MUTUAL FUNDS MANAGEMENT COMPANY,1.17,JOD,99.03L,-.--%,Diversified Investment Services
KAFA'A FOR FINANCIAL & ECONOMICAL INVESTMENTS P L C,0.47,JOD,26.52L,-9.62%,Diversified Investment Services
KAPITAL YATIRIM HOLDING AS,-,TRY,26.57L,0.00%,Diversified Investment Services
KUWAIT AND MIDDLE EAST FINANCIAL INVESTMENT COMPANY K.S.C.P.,0.089,KWD,64.09M,9.88%,Diversified Investment Services
KUWAIT INVESTMENT COMPANY K.S.C.P.,0.168,KWD,303M,32.28%,Diversified Investment Services
NAEEM HOLDING COMPANY FOR INVESTMENTS (S.A.E - FREE ZONE),0.168,USD,63.48M,29.23%,Diversified Investment Services
NOOR FINANCIAL INVESTMENT COMPANY - KPSC,0.258,KWD,43Cr,14.16%,Diversified Investment Services
ODIN INVESTMENTS (S.A.E),1.85,EGP,1.9Cr,-44.44%,Diversified Investment Services
ORASCOM FINANCIAL HOLDING S.A.E.,0.32,EGP,3.1Cr,-2.44%,Diversified Investment Services
OSMANLI YATIRIM MENKUL DEGERLER,9.59,TRY,12Cr,7.33%,Diversified Investment Services
OSOOL & BAKHEET INVESTMENT COMPANY,52,SAR,114M,79.00%,Diversified Investment Services
PALESTINE DEVELOPMENT & INVESTMENT CO.,1.04,USD,197M,-12.61%,Diversified Investment Services
SABA'EK INVEST COMPANY PLC,0.44,JOD,37.24L,2.33%,Diversified Investment Services
SHUAA CAPITAL,0.231,AED,162M,11.06%,Diversified Investment Services
SHUROOQ INVESTMENT SERVICES HLDG CMPN SG,1.035,OMR,0,-.--%,Diversified Investment Services
SOLIDUS SECURITIES S.A.,30,EUR,33.58L,-.--%,Diversified Investment Services
TAMDEEN INVESTMENT COMPANY - KSCP,0.99,KWD,63Cr,35.10%,Diversified Investment Services
THE NATIONAL INVESTOR PR.,0.517,AED,4.01Cr,27.65%,Diversified Investment Services
THE SECURITIES HOUSE K.S.C.P.,0.06,KWD,75.68M,11.11%,Diversified Investment Services
YAQEEN CAPITAL COMPANY,24.9,SAR,9.99Cr,0.00%,Diversified Investment Services
AKIS GAYRIMENKUL YATIRIM ORTAKLIGI,18.15,TRY,43Cr,53.55%,Diversified REITs
AKMERKEZ GAYRIMENKUL YATIRIM ORTAKLIGI,224.6,TRY,25Cr,74.24%,Diversified REITs
AL MAATHER REIT FUND,8.79,SAR,14Cr,-5.79%,Diversified REITs
AL MAL CAPITAL- AL MAL CAPITAL REIT,1.2,AED,0,-40.00%,Diversified REITs
ALARKO GAYRIMENKUL YATIRIM ORTAKLIGI,44.48,TRY,184M,20.54%,Diversified REITs
AMOUN INTERNATIONAL FOR INVESTMENTS COMPANY,0.47,JOD,40.98L,-30.88%,Diversified REITs
ARAB INVESTORS UNION CO. FOR REAL ESTATES DEVELOPING P.L.C,0.36,JOD,15.23L,-25.00%,Diversified REITs
ATA GAYRIMENKUL YATIRIM ORTAKLIGI,11.25,TRY,16.11M,28.60%,Diversified REITs
AVRASYA GAYRIMENKUL YATIRIM ORTAKLIGI ANONIM SIRKETI,7.58,TRY,24.57M,-11.76%,Diversified REITs
DENIZ GAYRIMENKUL YATIRIM ORTAKLIGI,4.61,TRY,5.48Cr,20.63%,Diversified REITs
DOGUS GAYRIMENKUL YATIRIM ORTAKLIGI,31.2,TRY,314M,9.47%,Diversified REITs
KILER GAYRIMENKUL YATIRIM ORTAKLIGI,4.23,TRY,175M,46.71%,Diversified REITs
KORAY GAYRIMENKUL YATIRIM ORTAKLIGI,35.6,TRY,4.12Cr,23.27%,Diversified REITs
MISTRAL GAYRIMENKUL YATIRIM ORTAKLIGI,11.74,TRY,46.7M,-14.31%,Diversified REITs
NUROL GAYRIMENKUL YATIRIM ORTAKLIGI,7.8,TRY,7.66Cr,30.17%,Diversified REITs
OZAK GAYRIMENKUL YATIRIM ORTAKLIGI,9.91,TRY,44Cr,29.17%,Diversified REITs
OZDERICI GAYRIMENKUL YATIRIM ORTAKLIGI,5.68,TRY,37.29M,16.39%,Diversified REITs
PERA YATIRIM HOLDING ANONIM SIRKETI,33.22,TRY,14Cr,100.73%,Diversified REITs
REIT 1 LTD,"1,489.00",ILa,784M,-12.41%,Diversified REITs
TORUNLAR GAYRIMENKUL YATIRIM ORTAKLIGI,46.66,TRY,1.34B,47.19%,Diversified REITs
TREND GAYRIMENKUL YATIRIM ORTAKLIGI,9.91,TRY,20.11M,29.04%,Diversified REITs
TSKB GAYRIMENKUL YATIRIM ORTAKLIGI,13.32,TRY,26Cr,121.63%,Diversified REITs
YESIL GAYRIMENKUL YATIRIM ORTAKLIGI,9.98,TRY,62.84M,204.27%,Diversified REITs
EGE PROFIL TICARET VE SANAYI ANONIM SIRKETI,163.5,TRY,403M,20.06%,Doors & Window Frames
FORMET METAL VE CAM SANAYI,3.69,TRY,5.94Cr,55.46%,Doors & Window Frames
KLIL INDUSTRIES LTD,"19,880.00",ILa,12Cr,0.40%,Doors & Window Frames
RAV-BARIACH (08) INDUSTRIES LTD.,61.2,ILa,63.29M,-10.40%,Doors & Window Frames
BAHRAIN DUTY FREE SHOP COMPLEX BSC,0.5,BHD,189M,-16.67%,Duty Free Shops
JORDANIAN DUTY FREE SHOPS,7.34,JOD,233M,-11.14%,Duty Free Shops
ANEL ELEKTRIK PROJE TAAHHT VE TICARET ANONIM SIRKETI,13.25,TRY,9.95Cr,7.84%,Electric Construction
TERA LIGHT LTD,597.9,ILa,12Cr,-17.03%,Electric Construction
STG INTERNATIONAL LTD.,"4,078.00",ILa,5.37Cr,13.88%,Electric Equipment Wholesale
TADIRAN GROUP LTD,"20,300.00",ILa,47Cr,-23.54%,Electric Equipment Wholesale
PAYTON INDUSTRIES LTD,"6,133.00",ILa,14Cr,35.30%,Electrical Component
AL MOHAFAZA COMPANY FOR EDUCATION,20.2,SAR,4.31Cr,0.00%,Elementary & Primary Schools
HORIZON EDUCATIONAL COMPANY,63.8,SAR,4.4Cr,0.00%,Elementary & Primary Schools
TALEEM HOLDINGS,3.58,AED,983M,-7.97%,Elementary & Primary Schools
MAYAR HOLDING COMPANY,4.05,SAR,13Cr,-21.97%,Elevator & Conveying Equipment
AQUARIUS ENGINES (A.M) LTD.,161.6,ILa,1.52Cr,42.63%,Engine & Powertrain Systems
FEDERAL-MOGUL IZMIT PISTON VE PIM RETIM TESISLERI,283,TRY,12Cr,3.28%,Engine & Powertrain Systems
AL MOASHER FOR PROGRAMMING AND INFORMATION DISSEMINATION,0.407,EGP,0,-9.56%,Enterprise Software
ALARUM TECHNOLOGIES LTD.,567,ILa,15Cr,105.20%,Enterprise Software
ARAB SEA INFORMATION SYSTEMS COMPANY,6.6,SAR,177M,-5.98%,Enterprise Software
ATP YAZILIM VE TEKNOLOJI ANONIM SIRKETI,105.6,TRY,290M,8.20%,Enterprise Software
HILAN LTD.,"19,860.00",ILa,157.99Cr,3.38%,Enterprise Software
IDOMOO LTD.,317,ILa,1.07Cr,-42.36%,Enterprise Software
KAFEIN YAZILIM HIZMETLERI TICARET,98.8,TRY,5.81Cr,68.89%,Enterprise Software
LINK BILGISAYAR SISTEMLERI YAZILIMI VE DONANIMI SANAYI VE TICARET,531.5,TRY,172M,154.79%,Enterprise Software
NETINFO PLC,1.08,EUR,15.5M,-10.00%,Enterprise Software
QUICKLIZARD LTD,"2,900.00",ILa,29.57M,19.15%,Enterprise Software
SMARTIKS YAZILIM,29.12,TRY,27.56M,1.82%,Enterprise Software
SURE GLOBAL TECH CO.,81.2,SAR,170M,106.09%,Enterprise Software
SYNEL M.L.L PAYWAY LTD,"1,440.00",ILa,22.09M,-5.39%,Enterprise Software
TOP RAMDOR SYSTEMS & COMPUTERS CO. (1990) LTD,871.5,ILa,5.01Cr,24.23%,Enterprise Software
WATER.IO LTD,93,ILa,21.42L,-20.38%,Enterprise Software
CEO EVENT MEDYA,43.28,TRY,5.61Cr,123.82%,Exhibition & Conference Services
DISPLAY ART PLC,0.05,EUR,756K,-9.09%,Exhibition & Conference Services
FLAP KONGRE TOPLANTI HIZMETLERI OTOMOTIV VE TURIZM,8.67,TRY,24.06M,-20.60%,Exhibition & Conference Services
AL FAJAR AL ALAMIA COMPANY SAOG,0.506,OMR,64.83M,0.00%,Explosives
CREDITWEST FAKTORING ANONIM SIRKETI,6.22,TRY,1.84Cr,10.28%,Factoring
GARANTI FAKTORING,20.78,TRY,25Cr,35.20%,Factoring
LIDER FAKTORING,3.2,TRY,5.34Cr,-14.04%,Factoring
ULUSAL FAKTORING,14.45,TRY,5.52Cr,61.32%,Factoring
BAGFAS BANDIRMA GUBRE FABRIKALARI,23.36,TRY,96.41M,-29.14%,Fertilizer
EGE GBRE SANAYII,67.1,TRY,208M,49.27%,Fertilizer
FERTIGLOBE PLC,2.45,AED,551.46Cr,-17.51%,Fertilizer
GBRE FABRIKALARI TRK ANONIM SIRKETI,165,TRY,163.5Cr,7.28%,Fertilizer
SABIC AGRI-NUTRIENTS COMPANY,116,SAR,14.77B,-16.06%,Fertilizer
OMAN FIBER OPTIC COMPANY SAOG,4.57,OMR,0,-.--%,Fiber Optic Cable Manufacturing
GUIDELINE GROUP INFORMATION TECHNOLOGIES LTD,658.6,ILa,1.51Cr,-6.02%,Financial Information Providers
BLENDER FINANCIAL TECHNOLOGIES,409.8,ILa,1.08Cr,-4.94%,Financial Technology (Fintech) (NEC)
IINTOO LTD,19.7,ILa,4.44M,-49.23%,Financial Technology (Fintech) (NEC)
KNOWLEDGE NET COMPUTER COMPANY,22.44,SAR,20.52M,-37.67%,Financial Technology (Fintech) (NEC)
MATRIKS BILGI DAGITIM HIZMETLERI,45.5,TRY,7.96Cr,34.97%,Financial Technology (Fintech) (NEC)
O.R.T. TECHNOLOGIES LTD,"1,110.00",ILa,1.35Cr,-28.75%,Financial Technology (Fintech) (NEC)
PAYMENT FINANCIAL TECHNOLOGIES LTD,290,ILa,29.17M,-29.13%,Financial Technology (Fintech) (NEC)
RASAN INFORMATION TECHNOLOGY COMPANY,55.8,SAR,114.74Cr,0.00%,Financial Technology (Fintech) (NEC)
BIKUREY HASADE (HOLDINGS) LTD,306.7,ILa,12Cr,33.23%,Fishing & Farming Wholesale
DCT TRADING DIS TICARET ANONIM SIRKETI,23.76,TRY,89.39M,0.00%,Fishing & Farming Wholesale
GRAINTURK TARIM ANONIM SIRKETI,100.2,TRY,369M,142.73%,Fishing & Farming Wholesale
MISR KUWAIT INVESTMENT AND TRADING CO,0.9,EGP,0,-.--%,Fishing & Farming Wholesale
NETO MALINDA TRADING LTD.,"6,495.00",ILa,350M,33.37%,Fishing & Farming Wholesale
AL ANWAR CERAMIC TILES COMPANY SAOG,0.184,OMR,11Cr,7.60%,Flooring & Interior Tile Manufacturers
AL MAHA CERAMICS SAOG,0.157,OMR,22.43M,-21.50%,Flooring & Interior Tile Manufacturers
BIEN YAPI URUNLERI SANAYI TURIZM VE TICARET,31.36,TRY,338M,-24.02%,Flooring & Interior Tile Manufacturers
DOGUSAN BORU SANAYII VE TICARET,24.98,TRY,29.21M,74.69%,Flooring & Interior Tile Manufacturers
EGE SERAMIK SANAYI VE TICARET,3.71,TRY,7.82Cr,4.80%,Flooring & Interior Tile Manufacturers
KALESERAMIK CANAKKALE KALEBODUR SERAMIK SANAYI,44.22,TRY,209.88Cr,-31.28%,Flooring & Interior Tile Manufacturers
THE ARAB CERAMIC CO.,0.811,EGP,11.95M,-1.34%,Flooring & Interior Tile Manufacturers
THE GENERAL COMPANY FOR CERAMIC AND PORCELAIN PRODUCTS,11.9,EGP,12.29M,-0.75%,Flooring & Interior Tile Manufacturers
USAK SERAMIK SANAYI,15.61,TRY,111M,36.76%,Flooring & Interior Tile Manufacturers
BAHRAIN FLOUR MILLS COMPANY B.S.C.,0.37,BHD,24.35M,8.50%,Flour Milling
EKSUN GIDA TARIM SANAYI VE TICARET ANONIM SIRKETI,6.58,TRY,12Cr,-2.51%,Flour Milling
GOLDEN WHEAT MILLS P.L.C,0.8,JOD,16.93M,-10.11%,Flour Milling
MITSIDES,0.344,EUR,31.57L,19.44%,Flour Milling
MODERN MILLS COMPANY,49.1,SAR,109.92Cr,0.00%,Flour Milling
OMAN FLOUR MILLS COMPANY SAOG,0.48,OMR,196M,-5.88%,Flour Milling
S–KE DEGIRMENCILIK SANAYI VE TICARET,13.12,TRY,149M,-18.56%,Flour Milling
SALALAH MILLS COMPANY SAOG,0.531,OMR,68.9M,-0.38%,Flour Milling
ULUSOY UN SANAYI VE TICARET,6.97,TRY,153M,5.27%,Flour Milling
TURPAZ INDUSTRIES LTD,"1,687.00",ILa,46Cr,19.56%,Food Ingredients
ALMUNAJEM FOODS COMPANY,102.8,SAR,165.98Cr,39.48%,Food Wholesale
ANAAM INTERNATIONAL HOLDING GROUP COMPANY,1.07,SAR,180M,17.58%,Food Wholesale
CHRIS JOANNOU PUBLIC LTD,0.044,EUR,496K,6.02%,Food Wholesale
HAMAMA MEIR TRADING (1996) LTD.,411,ILa,15.83M,3.79%,Food Wholesale
ATES ELEKTRIK RETIM ANONIM SIRKETI,43.84,TRY,218M,8.25%,Fossil Fuel Electric Utilities
AL KAMIL POWER COMPANY SAOG,0.182,OMR,45.49M,0.00%,Fossil Fuel Electric Utilities
DHOFAR GENERATING COMPANY SAOG,0.071,OMR,4.1Cr,91.89%,Fossil Fuel Electric Utilities
MUSANDAM POWER COMPANY SAOG,0.252,OMR,46.07M,-18.71%,Fossil Fuel Electric Utilities
RAPAC COMMUNICATION & INFRASTRUCTURE LTD,"2,440.00",ILa,9.87Cr,-3.79%,Fossil Fuel Electric Utilities
AL BATINAH POWER COMPANY SAOG,0.074,OMR,13Cr,270.00%,Fossil Fuel IPPs
OPC ENERGY LTD.,"2,795.00",ILa,186.75Cr,16.46%,Fossil Fuel IPPs
PHOENIX POWER COMPANY SAOG,0.058,OMR,220M,7.41%,Fossil Fuel IPPs
TURCAS PETROL,23.5,TRY,178M,21.76%,Fossil Fuel IPPs
FRIDENSON LOGISTIC SERVICES LTD,"4,000.00",ILa,1.78Cr,-25.93%,Freight Logistics
MMC SANAYI VE TICARI YATIRIMLAR,26,TRY,98.77L,220.20%,Freight Logistics
MUNAWLA CARGO CO. LTD.,145.8,SAR,3.92Cr,-15.03%,Freight Logistics
SAL SAUDI LOGISTICS SERVICES COMPANY,297,SAR,642.18Cr,52.78%,Freight Logistics
HOROZ LOJISTIK KARGO HIZMETLERI VE TICARET ANONIM SIRKETI,48.68,TRY,12Cr,0.00%,Freight Trucking
MASAFAT FOR SPECIALISED TRANSPORT COMPANY,0.62,JOD,16.18M,-7.46%,Freight Trucking
ARABIAN FOOD AND DAIRY FACTORIES COMPANY,80,SAR,3.01Cr,-13.51%,Frozen Food Manufacturing
KEREVITAS GIDA SANAYI VE TICARET,13.96,TRY,285M,48.93%,Frozen Food Manufacturing
ELITE NATUREL ORGANIK GIDA SANAYI VE TICARET,30.6,TRY,12Cr,-42.24%,Fruit & Vegetable Processing
FADE GIDA YATIRIM SANAYI TICARET ANONIM SIRKETI,14.49,TRY,36.48M,-2.15%,Fruit & Vegetable Processing
G–KNUR GIDA MADDELERI ENERJI IMALAT ITHALAT IHRACAT TICARET VE SANAYI ANONIM SIRKETI,31.52,TRY,332M,61.74%,Fruit & Vegetable Processing
GAN SHMUEL FOODS LTD.,"3,364.00",ILa,13Cr,131.84%,Fruit & Vegetable Processing
KONFRUT GIDA SANAYI VE TICARET,10.33,TRY,75.77M,12.91%,Fruit & Vegetable Processing
MERKO GIDA SANAYI VE TICARET,11.07,TRY,3.27Cr,40.38%,Fruit & Vegetable Processing
PENGUEN GIDA SANAYI,7.18,TRY,3.77Cr,24.65%,Fruit & Vegetable Processing
SELUK GIDA ENDSTRI IHRACAT ITHALAT,53.15,TRY,34.55M,154.31%,Fruit & Vegetable Processing
TUKAS GIDA SANAYI VE TICARET,8.41,TRY,350M,23.28%,Fruit & Vegetable Processing
ZANLAKOL LTD,"3,694.00",ILa,14Cr,55.67%,Fruit & Vegetable Processing
ERSU MEYVE VE GIDA SANAYII,23.36,TRY,23.31M,103.84%,Fruit Drinks
DOGANLAR MOBILYA GRUBU IMALAT SANAYI VE TICARET ANONIM SIRKETI,8.91,TRY,92.93M,-5.02%,Furniture
GENTAS DEKORATIF YUZEYLER SANAYI VE TICARET,7.71,TRY,68.44M,0.00%,Furniture
KOLEKSIYON MOBILYA SANAYI,5.22,TRY,65.66M,3.39%,Furniture
YATAS YATAK VE YORGAN SANAYI VE TICARET,28.18,TRY,12Cr,16.17%,Furniture
YONGA MOBILYA SANAYI VE TICARET,69.5,TRY,34.96M,62.99%,Furniture
AL MAHA PETROLEUM PRODUCTS MARKETING COMPANY SAOG,1.06,OMR,190M,-2.75%,Gasoline Stations
AL SOOR FUEL MARKETING COMPANY K.S.C.P.,0.135,KWD,179M,-1.46%,Gasoline Stations
ALDREES PETROLEUM AND TRANSPORT SERVICES COMPANY,126.2,SAR,3.44B,-5.15%,Gasoline Stations
DOR ALON ENERGY IN ISRAEL (1988) LTD,"7,548.00",ILa,320M,6.06%,Gasoline Stations
OULA FUEL MARKETING COMPANY - KSCP,0.139,KWD,184M,0.72%,Gasoline Stations
SAUDI AUTOMOTIVE SERVICES COMPANY,76.7,SAR,1.47B,20.44%,Gasoline Stations
SHELL OMAN MARKETING COMPANY SAOG,0.74,OMR,196M,-10.84%,Gasoline Stations
AL IMTIAZ INVESTMENT GROUP COMPANY - K.S.C. (PUBLIC),0.0461,KWD,155M,-18.41%,Generic Pharmaceuticals
ALMUJTAMA ALRAIDA MEDICAL CO.,31.5,SAR,7.96Cr,5.00%,Generic Pharmaceuticals
ASTRA INDUSTRIAL GROUP COMPANY,172.4,SAR,3.71B,29.43%,Generic Pharmaceuticals
BIRZEIT PHARMACEUTICALS COMPANY,3.84,USD,149M,-12.13%,Generic Pharmaceuticals
EGYPTIAN INTERNATIONAL PHARMACEUTICAL INDUSTRIES COMPANY,40.14,EGP,12Cr,9.97%,Generic Pharmaceuticals
JAMJOOM PHARMACEUTICALS FACTORY COMPANY,171.2,SAR,308.94Cr,48.87%,Generic Pharmaceuticals
JERUSALEM PHARMACEUTICALS CO. LTD.,3.7,USD,66.6M,-2.63%,Generic Pharmaceuticals
MIDDLE EAST PHARMACEUTICAL INDUSTRIES COMPANY,133.2,SAR,714M,0.00%,Generic Pharmaceuticals
MINAPHARM PHARMACEUTICALS,174.12,EGP,3.95Cr,-20.01%,Generic Pharmaceuticals
PHILADELPHIA PHARMACEUTICALS COMPANY,1.42,JOD,1.5Cr,-0.70%,Generic Pharmaceuticals
SABAA INTERNATIONAL COMPANY FOR PHARMACEUTICAL AND CHEMICAL INDUSTRY,0.781,EGP,40.03L,-2.13%,Generic Pharmaceuticals
AL OBEIKAN GLASS COMPANY,48.2,SAR,394M,-12.36%,Glass
SAUDI ADVANCED INDUSTRIES COMPANY,39.05,SAR,62Cr,36.30%,Glass
ANADOLU CAM SANAYII A.S.,-,TRY,60Cr,0.00%,Glass Containers & Packaging
MAJAN GLASS COMPANY SAOG,0.031,OMR,33.83L,34.78%,Glass Containers & Packaging
MIDDLE EAST GLASS MANUFACTURING COMPANY S.A.E.,12.54,EGP,16.1M,0.00%,Glass Containers & Packaging
THE NATIONAL COMPANY FOR GLASS INDUSTRIES,47.7,SAR,417M,19.25%,Glass Containers & Packaging
EL NASR MANUFACTURING AGRICULTURAL CROPS S.A.E,15.07,EGP,24.3L,-13.93%,Grain (Crop) Production
INTERNATIONAL COMPANY FOR AGRICULTURAL CROPS,12.84,EGP,4.21Cr,-13.01%,Grain (Crop) Production
GENIAL TOURS,1.618,EGP,0,-6.47%,Guided Tour Operators
ISRAIR GROUP LTD,143,ILa,95.96M,-2.46%,Guided Tour Operators
JORDAN INVESTMENT & TOURISM TRANSPORT CO.,1.29,JOD,90.99L,-6.52%,Guided Tour Operators
HOLMES PLACE INTERNATIONAL LTD,486.5,ILa,12Cr,8.21%,"Gyms, Fitness and Spa Centers"
LEEJAM SPORTS COMPANY,219.2,SAR,307.41Cr,7.77%,"Gyms, Fitness and Spa Centers"
